row_label_raw,row_label_full,col_0,Vốn cổ phần,Quyền chọn chuyển đổi trái phiếu,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Quyền chọn chuyển đổi trái phiếu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,,,,
Số đầu năm,Năm trước: > Số đầu năm,Số đầu năm,1.435.200.000.000,-,246.723.093.219,1.681.923.093.219,1435200000000.0,,246723093219.0,1681923093219.0
Quyền chọn chuyển đổi trái phiếu,Năm trước: > Quyền chọn chuyển đổi trái phiếu,Quyền chọn chuyển đổi trái phiếu,-,137.648.613.977,-,137.648.613.977,,137648613977.0,,137648613977.0
Lợi nhuận thuần trong năm,Năm trước: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,50.375.678.813,50.375.678.813,,,50375678813.0,50375678813.0
Số cuối năm,Năm trước: > Số cuối năm,Số cuối năm,1.435.200.000.000,137.648.613.977,297.098.772.032,1.869.947.386.009,1435200000000.0,137648613977.0,297098772032.0,1869947386009.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,1.435.200.000.000,137.648.613.977,297.098.772.032,1.869.947.386.009,1435200000000.0,137648613977.0,297098772032.0,1869947386009.0
Phát hành cổ phiếu cho cổ đông hiện hữu (i),Năm nay: > Phát hành cổ phiếu cho cổ đông hiện hữu (i),Phát hành cổ phiếu cho cổ đông hiện hữu (i),684.256.000.000,-,-,684.256.000.000,684256000000.0,,,684256000000.0
Lợi nhuận thuần trong năm,Năm nay: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,355.071.676.816,355.071.676.816,,,355071676816.0,355071676816.0
Phát hành cổ phiếu cho cán bộ nhân viên trong Công ty (“ESOP”) (ii),Năm nay: > Phát hành cổ phiếu cho cán bộ nhân viên trong Công ty (“ESOP”) (ii),Phát hành cổ phiếu cho cán bộ nhân viên trong Công ty (“ESOP”) (ii),26.780.000.000,-,-,26.780.000.000,26780000000.0,,,26780000000.0
Cổ tức công bố (iii),Năm nay: > Cổ tức công bố (iii),Cổ tức công bố (iii),243.980.420.000,-,(243.980.420.000),-,243980420000.0,,-243980420000.0,
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,2.390.216.420.000,137.648.613.977,408.190.028.848,2.936.055.062.825,2390216420000.0,137648613977.0,408190028848.0,2936055062825.0
