row_label_raw,row_label_full,Giá trị trái phiếu chuyển đổi,Số cuối năm > 600.000.000.000,numeric__Số cuối năm > 600.000.000.000
Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,(137.648.613.977),-137648613977.0
Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,462.351.386.023,462351386023.0
Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,32.574.668.820,32574668820.0
Số đầu năm,Số đầu năm,Số đầu năm,13.572.019.890,13572019890.0
Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,19.002.648.930,19002648930.0
Số cuối năm,Số cuối năm,Số cuối năm,32.574.668.820,32574668820.0
Trừ: Giá trị phân bổ chi phí phát hành trái phiếu,Trừ: Giá trị phân bổ chi phí phát hành trái phiếu,Trừ: Giá trị phân bổ chi phí phát hành trái phiếu,(19.679.470.190),-19679470190.0
Số đầu năm,Số đầu năm,Số đầu năm,(23.417.852.643),-23417852643.0
Số phân bổ giảm trong năm,Số phân bổ giảm trong năm,Số phân bổ giảm trong năm,3.738.382.453,3738382453.0
Số cuối năm,Số cuối năm,Số cuối năm,(19.679.470.190),-19679470190.0
Cơ cấu nợ gốc tại ngày cuối năm,Cơ cấu nợ gốc tại ngày cuối năm,Cơ cấu nợ gốc tại ngày cuối năm,475.246.584.653,475246584653.0
