row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,Phân bổ chi phí phát hành trải phiếu,Phân bổ lũy kế giá trị chiết khấu,Phân loại lại,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Phân bổ chi phí phát hành trải phiếu,numeric__Phân bổ lũy kế giá trị chiết khấu,numeric__Phân loại lại,numeric__VND Số cuối năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,702.919.072.000,1.689.099.802.512,(1.625.157.253.016),-,-,300.804.497.763,1.067.666.119.259,702919072000.0,1689099802512.0,-1625157253016.0,,,300804497763.0,1067666119259.0
Vay ngân hàng (Thuyết minh số 23.1),Vay ngân hàng (Thuyết minh số 23.1),Vay ngân hàng (Thuyết minh số 23.1),497.620.561.000,1.553.627.602.496,(1.469.640.561.000),-,-,-,581.607.602.496,497620561000.0,1553627602496.0,-1469640561000.0,,,,581607602496.0
Vay các bên liên quan (Thuyết minh số 23.2 và số 32),Vay các bên liên quan (Thuyết minh số 23.2 và số 32),Vay các bên liên quan (Thuyết minh số 23.2 và số 32),201.707.061.000,133.335.763.000,(149.788.805.000),-,-,-,185.254.019.000,201707061000.0,133335763000.0,-149788805000.0,,,,185254019000.0
Trái phiếu phát hành dài hạn đến hạn trả (Thuyết minh số 23.3),Trái phiếu phát hành dài hạn đến hạn trả (Thuyết minh số 23.3),Trái phiếu phát hành dài hạn đến hạn trả (Thuyết minh số 23.3),-,-,-,-,-,297.541.148.913,297.541.148.913,,,,,,297541148913.0,297541148913.0
Nợ thuê tài chính dài hạn đến hạn trả (Thuyết minh số 23.5),Nợ thuê tài chính dài hạn đến hạn trả (Thuyết minh số 23.5),Nợ thuê tài chính dài hạn đến hạn trả (Thuyết minh số 23.5),-,2.136.437.016,(2.136.437.016),-,-,3.263.348.850,3.263.348.850,,2136437016.0,-2136437016.0,,,3263348850.0,3263348850.0
Vay ngân hàng dài hạn đến hạn trả,Vay ngân hàng dài hạn đến hạn trả,Vay ngân hàng dài hạn đến hạn trả,3.591.450.000,-,(3.591.450.000),-,-,-,-,3591450000.0,,-3591450000.0,,,,
Dài hạn,Dài hạn,Dài hạn,1.035.004.080.550,11.949.960.901,(9.327.387.500),15.772.985.187,19.002.648.930,(300.804.497.763),771.597.790.305,1035004080550.0,11949960901.0,-9327387500.0,15772985187.0,19002648930.0,-300804497763.0,771597790305.0
Trái phiếu phát hành (Thuyết minh số 23.3),Trái phiếu phát hành (Thuyết minh số 23.3),Trái phiếu phát hành (Thuyết minh số 23.3),573.171.139.780,-,-,12.034.602.734,-,(297.541.148.913),287.664.593.601,573171139780.0,,,12034602734.0,,-297541148913.0,287664593601.0
Trái phiếu chuyển đổi (Thuyết minh số 23.4),Trái phiếu chuyển đổi (Thuyết minh số 23.4),Trái phiếu chuyển đổi (Thuyết minh số 23.4),452.505.553.270,-,-,3.738.382.453,19.002.648.930,-,475.246.584.653,452505553270.0,,,3738382453.0,19002648930.0,,475246584653.0
Nợ thuê tài chính (Thuyết minh số 23.5),Nợ thuê tài chính (Thuyết minh số 23.5),Nợ thuê tài chính (Thuyết minh số 23.5),-,11.949.960.901,-,-,-,(3.263.348.850),8.686.612.051,,11949960901.0,,,,-3263348850.0,8686612051.0
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,9.327.387.500,-,(9.327.387.500),-,-,-,-,9327387500.0,,-9327387500.0,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.737.923.152.550,1.701.049.763.413,(1.634.484.640.516),15.772.985.187,19.002.648.930,-,1.839.263.909.564,1737923152550.0,1701049763413.0,-1634484640516.0,15772985187.0,19002648930.0,,1839263909564.0
