row_label_raw,row_label_full,col_0,col_1,Tại ngày 1.1.2020 > Phải thu VND,Tại ngày 1.1.2020 > Phải nộp VND,Số phải nộp/đã thực thu trong năm VND,Số phải trả/đã thực nộp trong năm VND,Tại ngày 31.12.2020 > Phải thu VND,Tại ngày 31.12.2020 > Phải nộp VND,numeric__col_1,numeric__Tại ngày 1.1.2020 > Phải thu VND,numeric__Tại ngày 1.1.2020 > Phải nộp VND,numeric__Số phải nộp/đã thực thu trong năm VND,numeric__Số phải trả/đã thực nộp trong năm VND,numeric__Tại ngày 31.12.2020 > Phải thu VND,numeric__Tại ngày 31.12.2020 > Phải nộp VND
,,,Thuế GTGT được khấu trừ,153.077.866.590,-,1.628.492.468.204,1.559.036.222.401,85.745.358.467,-,,153077866590.0,,1628492468204.0,1559036222401.0,85745358467.0,
,,,Thuế GTGT hàng nhập khẩu,9.939.579.339,-,435.490.687.385,394.118.870.640,-,31.432.237.406,,9939579339.0,,435490687385.0,394118870640.0,,31432237406.0
,,,"Thuế xuất, nhập khẩu",-,-,3.371.411.403,3.327.529.245,-,43.882.158,,,,3371411403.0,3327529245.0,,43882158.0
,,,Thuế TNDN,1.866.727.526,-,25.557.009.597,6.760.599.978,-,16.929.682.093,,1866727526.0,,25557009597.0,6760599978.0,,16929682093.0
,,,Thuế thu nhập cá nhân,2.272.785,758.814.883,7.235.559.777,5.341.379.681,-,2.650.722.194,,2272785.0,758814883.0,7235559777.0,5341379681.0,,2650722194.0
,,,Các loại thuế khác,-,-,542.488.288,542.488.288,-,-,,,,542488288.0,542488288.0,,
,,,,164.886.446.240,758.814.883,2.100.689.624.654,1.969.127.090.233,85.745.358.467,51.056.523.851,,164886446240.0,758814883.0,2100689624654.0,1969127090233.0,85745358467.0,51056523851.0
16 VAY VÀ NỘ THUÊ TÀI CHÍNH,16 VAY VÀ NỘ THUÊ TÀI CHÍNH,16 VAY VÀ NỘ THUÊ TÀI CHÍNH,16 VAY VÀ NỘ THUÊ TÀI CHÍNH,16 VAY VÀ NỘ THUÊ TÀI CHÍNH,16 VAY VÀ NỘ THUÊ TÀI CHÍNH,16 VAY VÀ NỘ THUÊ TÀI CHÍNH,16 VAY VÀ NỘ THUÊ TÀI CHÍNH,16 VAY VÀ NỘ THUÊ TÀI CHÍNH,16 VAY VÀ NỘ THUÊ TÀI CHÍNH,,,,,,,
(a),(a),(a),Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,,,
(a),(a),(a),,Tại ngày 1.1.2020 VND,Tăng VND,Giảm VND,Đánh giá lại VND,Nợ dài hạn đến hạn trả VND,Tại ngày 31.12.2020 VND,,,,,,,
(a),(a) > (a),(a),Vay ngân hàng (*),2.367.301.754.043,11.098.457.061.598,(11.165.099.521.984),(1.195.444.577),199.024.275.180,2.498.488.124.260,,2367301754043.0,11098457061598.0,-11165099521984.0,-1195444577.0,199024275180.0,2498488124260.0
(a),(a) > (a),(a),Nợ thuê tài chính (Thuyết minh 16(c)),21.559.995.996,-,(21.559.995.996),-,21.559.995.996,21.559.995.996,,21559995996.0,,-21559995996.0,,21559995996.0,21559995996.0
(a),(a) > (a),(a),,2.388.861.750.039,11.098.457.061.598,(11.186.659.517.980),(1.195.444.577),220.584.271.176,2.520.048.120.256,,2388861750039.0,11098457061598.0,-11186659517980.0,-1195444577.0,220584271176.0,2520048120256.0
