row_label_raw,row_label_full,Ban Giám đốc,Ban Giám đốc_1,Ban Giám đốc_2,numeric__Ban Giám đốc_1,numeric__Ban Giám đốc_2
,,,Ông Võ Hoàng Vũ,Tổng Giám đốc,,
,,,Ông Quảng Trọng Lăng,Phó Tổng Giám đốc,,
,,,Bà Nguyễn Thị Ngọc Liên,Phó Tổng Giám đốc,,
,,,Ông Nguyễn Vinh An,Phó Tổng Giám đốc,,
,,,Bà Trần Ngọc Diệu,Phó Tổng Giám đốc,,
