row_label_raw,row_label_full,Mã số,col_1,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2020 > VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2019 > VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2020 > VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2019 > VND
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,,11.613.991.092.807,12.224.059.518.891,,,11613991092807.0,12224059518891.0
02,02,02,Các khoản giảm trừ doanh thu,,(54.316.572.647),(47.262.604.234),,,-54316572647.0,-47262604234.0
10,10,10,Doanh thu thuân về bán hàng và cung cấp dịch vụ,22,11.559.674.520.160,12.176.796.914.657,,22.0,11559674520160.0,12176796914657.0
11,11,11,Giá vốn hàng bán và dịch vụ cung cấp,23,(10.690.464.691.531),(11.835.048.249.482),,23.0,-10690464691531.0,-11835048249482.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,869.209.828.629,341.748.665.175,,,869209828629.0,341748665175.0
21,21,21,Doanh thu hoạt động tài chính,24,89.088.163.360,106.993.222.393,,24.0,89088163360.0,106993222393.0
22,22,22,Chi phí tài chính,25,(281.258.215.062),(275.044.712.627),,25.0,-281258215062.0,-275044712627.0
23,23,23,- Trong đó: Chi phí lãi vay,,(222.154.457.661),(237.062.837.775),,,-222154457661.0,-237062837775.0
25,25,25,Chi phí bán hàng,26,(267.948.756.419),(210.243.639.854),,26.0,-267948756419.0,-210243639854.0
26,26,26,Chi phí quản lý doanh nghiệp,27,(91.908.570.848),(68.680.802.083),,27.0,-91908570848.0,-68680802083.0
30,30,30,Lợi nhuận/(lỗ) thuân từ hoạt động kinh doanh,,317.182.449.660,(105.227.266.996),,,317182449660.0,-105227266996.0
31,31,31,Thu nhập khác,,3.795.441.330,197.608.346.357,,,3795441330.0,197608346357.0
32,32,32,Chi phí khác,,(165.774.826),(2.272.295.965),,,-165774826.0,-2272295965.0
40,40,40,Lợi nhuận khác,28,3.629.666.504,195.336.050.392,,28.0,3629666504.0,195336050392.0
50,50,50,Tổng lợi nhuận kê toán trước thuê,,320.812.116.164,90.108.783.396,,,320812116164.0,90108783396.0
51,51,51,Chi phí thuê thu nhập doanh nghiệp (“TNDN”) hiện hành,29,(25.557.009.597),(42.393.419.864),,29.0,-25557009597.0,-42393419864.0
52,52,52,Thu nhập/(chi phí) thuê TNDN hoãn lại,29,14.426.101,(381.649.068),,29.0,14426101.0,-381649068.0
60,60,60,Lợi nhuận sau thuê TNDN,,295.269.532.668,47.333.714.464,,,295269532668.0,47333714464.0
,,,Phân bổ cho:,,,,,,,
61,61,61,Lợi nhuận sau thuê của Công ty,,295.269.532.668,47.333.714.464,,,295269532668.0,47333714464.0
70,70,70,Lãi cơ bản trên cổ phiếu,20,,252,,20.0,,252.0
71,71,71,Lãi suy giảm trên cổ phiếu,20,,252,,20.0,,252.0
