row_label_raw,row_label_full,col_0,Tại ngày1.1.2020VND,GiảmVND,Nợ dài hạnđến hạn trảVND,Tại ngày31.12.2020VND,numeric__Tại ngày1.1.2020VND,numeric__GiảmVND,numeric__Nợ dài hạnđến hạn trảVND,numeric__Tại ngày31.12.2020VND
Vay ngân hàng (*),Vay ngân hàng (*),Vay ngân hàng (*),656.625.965.177,(350.000.000),(199.024.275.180),457.251.689.997,656625965177.0,-350000000.0,-199024275180.0,457251689997.0
Nợ thuê tài chính (Thuyết minh 16(c)),Nợ thuê tài chính (Thuyết minh 16(c)),Nợ thuê tài chính (Thuyết minh 16(c)),46.713.324.647,-,(21.559.995.996),25.153.328.651,46713324647.0,,-21559995996.0,25153328651.0
,,,703.339.289.824,(350.000.000),(220.584.271.176),482.405.018.648,703339289824.0,-350000000.0,-220584271176.0,482405018648.0
(*) Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2020 như sau:,(*) Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2020 như sau:,(*) Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2020 như sau:,(*) Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2020 như sau:,(*) Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2020 như sau:,(*) Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2020 như sau:,(*) Chi tiết các khoản vay dài hạn ngân hàng tại ngày 31 tháng 12 năm 2020 như sau:,,,,
Ngân hàng,Ngân hàng,Ngân hàng,Giá trị (VND),Tiền tệgốc,Đáo hạn,Hình thức đảm bảo,,,,
Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,432.398.127.416,VND,Từ tháng 8 năm 2020đến tháng 11 năm2022,"Nhà cửa, vật kiến trúc; máy móc thiết bị; phương tiện vận tải; và dụng cụ quản lý",432398127416.0,,,
Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng > Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,24.853.562.581,VND,Tháng 10 năm 2022,"Quyền sử dụng đất; máy móc, thiết bị; và nhà xưởng",24853562581.0,,,
,,,457.251.689.997,,,,457251689997.0,,,
"Lãi suất cho các khoản vay từ 9,0%/năm đến 9,9%/năm.","Lãi suất cho các khoản vay từ 9,0%/năm đến 9,9%/năm.","Lãi suất cho các khoản vay từ 9,0%/năm đến 9,9%/năm.","Lãi suất cho các khoản vay từ 9,0%/năm đến 9,9%/năm.","Lãi suất cho các khoản vay từ 9,0%/năm đến 9,9%/năm.","Lãi suất cho các khoản vay từ 9,0%/năm đến 9,9%/năm.","Lãi suất cho các khoản vay từ 9,0%/năm đến 9,9%/năm.",,,,
