row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,TSCĐ khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__TSCĐ khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2020,Nguyên giá > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,707.271.381.828,3.629.137.647.292,249.428.650.014,15.530.538.756,725.753.480,4.602.093.971.370,707271381828.0,3629137647292.0,249428650014.0,15530538756.0,725753480.0,4602093971370.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,456.140.156,13.056.033.920,970.000.000,69.050.000,-,14.551.224.076,456140156.0,13056033920.0,970000000.0,69050000.0,,14551224076.0
Chuyển từ chi phí xây dựng cơbản dở dang (Thuyết minh 11),Nguyên giá > Chuyển từ chi phí xây dựng cơbản dở dang (Thuyết minh 11),Chuyển từ chi phí xây dựng cơbản dở dang (Thuyết minh 11),239.327.551,17.988.243.875,2.719.772.455,-,-,20.947.343.881,239327551.0,17988243875.0,2719772455.0,,,20947343881.0
Tại ngày 31 tháng 12 năm 2020,Nguyên giá > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,707.966.849.535,3.660.181.925.087,253.118.422.469,15.599.588.756,725.753.480,4.637.592.539.327,707966849535.0,3660181925087.0,253118422469.0,15599588756.0,725753480.0,4637592539327.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2020,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,206.281.863.935,1.267.243.399.226,74.381.227.922,4.890.671.630,352.560.383,1.553.149.723.096,206281863935.0,1267243399226.0,74381227922.0,4890671630.0,352560383.0,1553149723096.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,46.783.045.105,290.296.746.027,18.469.990.438,1.933.537.513,50.242.963,357.533.562.046,46783045105.0,290296746027.0,18469990438.0,1933537513.0,50242963.0,357533562046.0
Tại ngày 31 tháng 12 năm 2020,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,253.064.909.040,1.557.540.145.253,92.851.218.360,6.824.209.143,402.803.346,1.910.683.285.142,253064909040.0,1557540145253.0,92851218360.0,6824209143.0,402803346.0,1910683285142.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2020,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,500.989.517.893,2.361.894.248.066,175.047.422.092,10.639.867.126,373.193.097,3.048.944.248.274,500989517893.0,2361894248066.0,175047422092.0,10639867126.0,373193097.0,3048944248274.0
Tại ngày 31 tháng 12 năm 2020,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,454.901.940.495,2.102.641.779.834,160.267.204.109,8.775.379.613,322.950.134,2.726.909.254.185,454901940495.0,2102641779834.0,160267204109.0,8775379613.0,322950134.0,2726909254185.0
