row_label_raw,row_label_full,Mã số,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2020 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2019 VND,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2020 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2019 VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,320.812.116.164,90.108.783.396,,320812116164.0,90108783396.0
02,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02,02,"Khấu hao tài sản cố định (""TSCĐ"")",376.255.520.548,441.808.719.478,,376255520548.0,441808719478.0
03,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 03,03,Các khoản dự phòng,400.000.000,-,,400000000.0,
04,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04,04,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,1.368.014.070,6.255.238.305,,1368014070.0,6255238305.0
05,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 05,05,Lãi từ hoạt động đầu tư,(27.090.757.323),(258.586.300.923),,-27090757323.0,-258586300923.0
06,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 06,06,Chi phí lãi vay,222.154.457.661,237.062.837.775,,222154457661.0,237062837775.0
07,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 07,07,Các khoản điều chỉnh khác,12.357.783.377,-,,12357783377.0,
08,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 08,08,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,906.257.134.497,516.649.278.031,,906257134497.0,516649278031.0
09,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 09,09,Tăng các khoản phải thu,(497.986.322.468),(63.335.753.547),,-497986322468.0,-63335753547.0
10,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 10,10,Giảm/(tăng) hàng tồn kho,218.291.327.280,(168.857.094.809),,218291327280.0,-168857094809.0
11,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 11,11,(Giảm)/tăng các khoản phải trả,(394.729.139.948),1.221.047.880.369,,-394729139948.0,1221047880369.0
12,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 12,12,Giảm/(tăng) chi phí trả trước,28.517.406.648,(38.710.484.428),,28517406648.0,-38710484428.0
14,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 14,14,Tiền lãi vay đã trả,(228.102.720.920),(242.759.139.169),,-228102720920.0,-242759139169.0
