row_label_raw,row_label_full,STT,Danh mục các loại tài sản tài chính,Giá trị mua theo số kế toán,Giá trị hợp lý,Số dư chênh lệch đánh giá lại cuối năm,Số dư chênh lệch đánh giá lại đầu năm,Đơn vị tính: VNDChênh lệch thuần điều chỉnh số kế toán trong năm,numeric__Danh mục các loại tài sản tài chính,numeric__Giá trị mua theo số kế toán,numeric__Giá trị hợp lý,numeric__Số dư chênh lệch đánh giá lại cuối năm,numeric__Số dư chênh lệch đánh giá lại đầu năm,numeric__Đơn vị tính: VNDChênh lệch thuần điều chỉnh số kế toán trong năm
I,I,I,Loại FVTPL,,,,,,,,,,,
3,I > 3,3,Cổ phiếu và chứng chỉ quỹ chưa niêm yết,54.082.228.373,34.525.310.285,(19.556.918.088),(12.471.918.092),(7.084.999.996),,54082228373.0,34525310285.0,-19556918088.0,-12471918092.0,-7084999996.0
4,I > 4,4,Trái phiếu chưa niêm yết,2.282.847.114.683,2.282.847.114.683,-,-,-,,2282847114683.0,2282847114683.0,,,
5,I > 5,5,Chứng chỉ tiên gửi,8.863.948.398.453,8.863.948.398.453,-,-,-,,8863948398453.0,8863948398453.0,,,
II,I > II,II,Loại AFS,191.347.164.707,185.676.629.818,(5.670.534.889),330.437.653.872,(336.108.188.761),,191347164707.0,185676629818.0,-5670534889.0,330437653872.0,-336108188761.0
1,I > 1,1,Cổ phiếu niêm yết,-,-,-,340.015.398.872,(340.015.398.872),,,,,340015398872.0,-340015398872.0
1,I > 1,1,HAH,-,-,-,(14.686.996.420),14.696.996.420,,,,,-14686996420.0,14696996420.0
1,I > 1,1,Cổ phiếu niêm yết khác,-,-,-,354.712.395.292,(354.712.395.292),,,,,354712395292.0,-354712395292.0
2,I > 2,2,Cổ phiếu chưa niêm yết,191.347.164.707,185.676.629.818,(5.670.534.889),(9.577.745.000),3.907.210.111,,191347164707.0,185676629818.0,-5670534889.0,-9577745000.0,3907210111.0
2,I > 2,2,Tổng cộng,13.399.960.093.462,13.438.130.138.899,38.170.045.437,92.628.559.489,(54.458.514.052),,13399960093462.0,13438130138899.0,38170045437.0,92628559489.0,-54458514052.0
