row_label_raw,row_label_full,Các khoản đầu tư nấm giữ đến ngày đáo hạn (1) > - Tiến gửi có kỳ hạn còn lại trên 1 năm > - Trải phiếu nằm giữ đến ngày đáo hạn,Tỷ lệ biểu quyết của Công ty,Tỷ lệ sở hữu của Công ty,Số cuối năm VND > 5.464.741.128.665 > 2.000.415.894.298 > 3.464.325.234.367,Số đầu năm VND > 3.444.540.512.534 > - > 3.444.540.512.534,numeric__Tỷ lệ biểu quyết của Công ty,numeric__Tỷ lệ sở hữu của Công ty,numeric__Số cuối năm VND > 5.464.741.128.665 > 2.000.415.894.298 > 3.464.325.234.367,numeric__Số đầu năm VND > 3.444.540.512.534 > - > 3.444.540.512.534
"Đầu tư vào công ty liên doanh, liên kết (2)","Đầu tư vào công ty liên doanh, liên kết (2)","Đầu tư vào công ty liên doanh, liên kết (2)",,,785.069.409.790,794.315.339.944,,,785069409790.0,794315339944.0
- Công ty Cổ phần Tập đoàn PAN (PAN),- Công ty Cổ phần Tập đoàn PAN (PAN),- Công ty Cổ phần Tập đoàn PAN (PAN),"20,09%","20,05%",785.069.409.790,794.315.339.944,0.2009,0.2005,785069409790.0,794315339944.0
Tổng cộng,Tổng cộng,Tổng cộng,,,6.249.810.538.455,4.238.855.852.478,,,6249810538455.0,4238855852478.0
