row_label_raw,row_label_full,STT,Chỉ tiêu,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Đơn vị tính: VND > Số cuối năm,numeric__Chỉ tiêu,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Đơn vị tính: VND > Số cuối năm
I,I,I,Thuế,59.461.134.912,595.863.832.918,542.478.942.429,112.846.025.401,,59461134912.0,595863832918.0,542478942429.0,112846025401.0
1,1,1,Thuế giả trị gia tăng,1.186.696.099,7.770.170.094,8.387.738.776,569.127.417,,1186696099.0,7770170094.0,8387738776.0,569127417.0
2,2,2,Thuế thu nhập doanh nghiệp(Thuyết minh số 40.1),30.583.472.184,267.248.078.434,241.876.959.980,55.954.590.638,,30583472184.0,267248078434.0,241876959980.0,55954590638.0
3,3,3,Các loại thuế khác,27.690.966.629,320.845.584.390,292.214.243.673,56.322.307.346,,27690966629.0,320845584390.0,292214243673.0,56322307346.0
3,3,3,Thuế thu nhập cá nhân,6.340.491.762,60.544.785.344,50.619.962.197,16.265.314.909,,6340491762.0,60544785344.0,50619962197.0,16265314909.0
3,3,3,Thuế thu nhập cá nhân nộp hộ nhà đầu tư,16.937.664.993,208.603.480.899,191.123.111.863,34.418.034.029,,16937664993.0,208603480899.0,191123111863.0,34418034029.0
3,3,3,Thuế môn bài,-,18.000.000,18.000.000,-,,,18000000.0,18000000.0,
3,3,3,Thuế khác (thuế nhà thầu),4.412.809.874,51.679.318.147,50.453.169.613,5.638.958.408,,4412809874.0,51679318147.0,50453169613.0,5638958408.0
II,II,II,Các khoản phải nộp khác,-,41.193.833,41.193.833,-,,,41193833.0,41193833.0,
II,II,II,Tổng cộng,59.461.134.912,595.905.026.751,542.520.136.262,112.846.025.401,,59461134912.0,595905026751.0,542520136262.0,112846025401.0
