row_label_raw,row_label_full,col_0,Máy mócthiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,Đơn vị tính: VNDTổng cộng,numeric__Máy mócthiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,,,,
Ngày 1 tháng 1 năm 2020,Nguyên giả > Ngày 1 tháng 1 năm 2020,Ngày 1 tháng 1 năm 2020,181.494.262.176,21.616.657.300,2.797.761.031,205.908.680.507,181494262176.0,21616657300.0,2797761031.0,205908680507.0
Tăng trong năm,Nguyên giả > Tăng trong năm,Tăng trong năm,22.438.440.073,9.291.580.000,527.104.800,32.257.124.873,22438440073.0,9291580000.0,527104800.0,32257124873.0
Mua trong năm,Nguyên giả > Mua trong năm,Mua trong năm,22.438.440.073,9.291.580.000,527.104.800,32.257.124.873,22438440073.0,9291580000.0,527104800.0,32257124873.0
Giảm trong năm,Nguyên giả > Giảm trong năm,Giảm trong năm,(5.253.205.020),(4.354.764.000),(378.014.843),(9.985.983.863),-5253205020.0,-4354764000.0,-378014843.0,-9985983863.0
"Thanh lý, nhượng bán","Nguyên giả > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.994.408.035),(4.354.764.000),(378.014.843),(9.727.186.878),-4994408035.0,-4354764000.0,-378014843.0,-9727186878.0
Giảm khác,Nguyên giả > Giảm khác,Giảm khác,(258.796.985),-,-,(258.796.985),-258796985.0,,,-258796985.0
Ngày 31 tháng 12 năm 2020,Nguyên giả > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,198.679.497.229,26.553.473.300,2.946.850.988,228.179.821.517,198679497229.0,26553473300.0,2946850988.0,228179821517.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Ngày 1 tháng 1 năm 2020,Giá trị hao mòn lũy kế > Ngày 1 tháng 1 năm 2020,Ngày 1 tháng 1 năm 2020,94.937.311.048,12.708.726.433,1.702.110.054,109.348.147.535,94937311048.0,12708726433.0,1702110054.0,109348147535.0
Tăng trong năm,Giá trị hao mòn lũy kế > Tăng trong năm,Tăng trong năm,26.658.703.451,1.873.598.290,459.563.514,28.991.865.255,26658703451.0,1873598290.0,459563514.0,28991865255.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,26.658.703.451,1.873.598.290,459.563.514,28.991.865.255,26658703451.0,1873598290.0,459563514.0,28991865255.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(5.115.179.964),(3.292.440.396),(188.394.047),(8.596.014.407),-5115179964.0,-3292440396.0,-188394047.0,-8596014407.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.994.408.035),(3.292.440.396),(188.394.047),(8.475.242.478),-4994408035.0,-3292440396.0,-188394047.0,-8475242478.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(120.771.929),-,-,(120.771.929),-120771929.0,,,-120771929.0
Ngày 31 tháng 12 năm 2020,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,116.480.834.535,11.289.884.327,1.973.279.521,129.743.998.383,116480834535.0,11289884327.0,1973279521.0,129743998383.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Ngày 1 tháng 1 năm 2020,Giá trị còn lại > Ngày 1 tháng 1 năm 2020,Ngày 1 tháng 1 năm 2020,86.556.951.128,8.907.930.867,1.095.650.977,96.560.532.972,86556951128.0,8907930867.0,1095650977.0,96560532972.0
Ngày 31 tháng 12 năm 2020,Giá trị còn lại > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,82.198.662.694,15.263.588.973,973.571.467,98.435.823.134,82198662694.0,15263588973.0,973571467.0,98435823134.0
