row_label_raw,row_label_full,col_0,Chỉ số năm 2020,Chỉ số năm 2019,numeric__Chỉ số năm 2020,numeric__Chỉ số năm 2019
Cơ cấu tài sản,Cơ cấu tài sản,Cơ cấu tài sản,Cơ cấu tài sản,Cơ cấu tài sản,,
Tài sản ngắn hạn/ Tổng tài sản,Cơ cấu tài sản > Tài sản ngắn hạn/ Tổng tài sản,Tài sản ngắn hạn/ Tổng tài sản,"81,19%","82,42%",0.8119,0.8242
Tài sản dài hạn/ Tổng tài sản,Cơ cấu tài sản > Tài sản dài hạn/ Tổng tài sản,Tài sản dài hạn/ Tổng tài sản,"18,81%","17,58%",0.1881,0.17579999999999998
Cơ cấu nguồn vốn,Cơ cấu nguồn vốn,Cơ cấu nguồn vốn,Cơ cấu nguồn vốn,Cơ cấu nguồn vốn,,
Nợ phải trả/ Tổng tài sản,Cơ cấu nguồn vốn > Nợ phải trả/ Tổng tài sản,Nợ phải trả/ Tổng tài sản,"72,40%","65,24%",0.7240000000000001,0.6524
Nguồn vốn chủ sở hữu/ Tổng tài sản,Cơ cấu nguồn vốn > Nguồn vốn chủ sở hữu/ Tổng tài sản,Nguồn vốn chủ sở hữu/ Tổng tài sản,"27,60%","34,76%",0.276,0.34759999999999996
Tỷ suất lợi nhuận,Tỷ suất lợi nhuận,Tỷ suất lợi nhuận,Tỷ suất lợi nhuận,Tỷ suất lợi nhuận,,
Lợi nhuận sau thuế/ Tổng tài sản (ROA),Tỷ suất lợi nhuận > Lợi nhuận sau thuế/ Tổng tài sản (ROA),Lợi nhuận sau thuế/ Tổng tài sản (ROA),"3,51%","3,35%",0.0351,0.0335
Lợi nhuận sau thuế/ Nguồn vốn chủ sở hữu (ROE),Tỷ suất lợi nhuận > Lợi nhuận sau thuế/ Nguồn vốn chủ sở hữu (ROE),Lợi nhuận sau thuế/ Nguồn vốn chủ sở hữu (ROE),"12,80%","9,72%",0.128,0.09720000000000001
Lợi nhuận sau thuế/ Vốn điều lệ,Tỷ suất lợi nhuận > Lợi nhuận sau thuế/ Vốn điều lệ,Lợi nhuận sau thuế/ Vốn điều lệ,"20,83%","17,78%",0.20829999999999999,0.1778
Lợi nhuận sau thuế/ Doanh thu thuần,Tỷ suất lợi nhuận > Lợi nhuận sau thuế/ Doanh thu thuần,Lợi nhuận sau thuế/ Doanh thu thuần,"27,45%","27,48%",0.27449999999999997,0.2748
Khả năng thanh toán,Khả năng thanh toán,Khả năng thanh toán,Khả năng thanh toán,Khả năng thanh toán,,
Chỉ số thanh toán hiện hành (Tài sản lưu động/ Nợ ngắn hạn),Khả năng thanh toán > Chỉ số thanh toán hiện hành (Tài sản lưu động/ Nợ ngắn hạn),Chỉ số thanh toán hiện hành (Tài sản lưu động/ Nợ ngắn hạn),"1,12","1,36",1.12,1.36
Chỉ số thanh toán nhanh ([Tiền + Khoản đầu tư tài chính ngắn hạn)/ Nợ ngắn hạn),Khả năng thanh toán > Chỉ số thanh toán nhanh ([Tiền + Khoản đầu tư tài chính ngắn hạn)/ Nợ ngắn hạn),Chỉ số thanh toán nhanh ([Tiền + Khoản đầu tư tài chính ngắn hạn)/ Nợ ngắn hạn),"1,11","1,35",1.11,1.35
