row_label_raw,row_label_full,Thuế giá trị gia tăng,Số cuối năm > 569.127.417,Đơn vị tính; VND Số đầu năm > 1.186.696.099,numeric__Số cuối năm > 569.127.417,numeric__Đơn vị tính; VND Số đầu năm > 1.186.696.099
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,55.954.590.638,30.583.472.184,55954590638.0,30583472184.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,50.683.348.938,23.278.156.755,50683348938.0,23278156755.0
Thuế nhà thầu,Thuế nhà thầu,Thuế nhà thầu,5.638.958.408,4.412.809.874,5638958408.0,4412809874.0
Tổng cộng,Tổng cộng,Tổng cộng,112.846.025.401,59.461.134.912,112846025401.0,59461134912.0
