row_label_raw,row_label_full,col_0,Số cuối năm > Số lượng,Số cuối năm > Giá mua,Số cuối năm > Giá trị giảm giá,Số đầu năm > Số lượng,Số đầu năm > Giá mua,Số đầu năm > Giá trị giảm giá,numeric__Số cuối năm > Số lượng,numeric__Số cuối năm > Giá mua,numeric__Số cuối năm > Giá trị giảm giá,numeric__Số đầu năm > Số lượng,numeric__Số đầu năm > Giá mua,numeric__Số đầu năm > Giá trị giảm giá
MBB,MBB,MBB,32.600,753.060.000,(3.260.000),527.986,11.494.144.356,(512.035.556),32600.0,753060000.0,-3260000.0,527986.0,11494144356.0,-512035556.0
VHM,VHM,VHM,-,-,-,65.550,5.895.328.425,(336.688.425),,,,65550.0,5895328425.0,-336688425.0
ACB,ACB,ACB,-,-,-,50.000,1.171.573.600,(31.573.600),,,,50000.0,1171573600.0,-31573600.0
HLM,HLM,HLM,55.625,11.013.850.000,(11.013.850.000),55.625,11.013.850.000,(11.013.850.000),55625.0,11013850000.0,-11013850000.0,55625.0,11013850000.0,-11013850000.0
RICONS,RICONS,RICONS,101.216,8.130.411.996,(382.327.196),188.716,19.799.162.000,(8.476.202.000),101216.0,8130411996.0,-382327196.0,188716.0,19799162000.0,-8476202000.0
TDM,TDM,TDM,-,-,-,901.100,25.437.435.642,(2.279.165.642),,,,901100.0,25437435642.0,-2279165642.0
GEX,GEX,GEX,148.530,3.463.585.923,(121.660.923),-,-,-,148530.0,3463585923.0,-121660923.0,,,
SIP,SIP,SIP,22.900,4.115.626.973,(110.416.973),-,-,-,22900.0,4115626973.0,-110416973.0,,,
Khác,Khác,Khác,240.400,10.327.416.295,(180.076.295),1.652.473,65.797.427.014,(5.980.310.314),240400.0,10327416295.0,-180076295.0,1652473.0,65797427014.0,-5980310314.0
Tổng,Tổng,Tổng,601.271,37.803.951.187,(11.811.591.387),3.441.450,140.608.921.037,(28.629.825.537),601271.0,37803951187.0,-11811591387.0,3441450.0,140608921037.0,-28629825537.0
