row_label_raw,row_label_full,Năm 2019,Môi giới và dịch vụ khách hàng (1) > Năm 2019,Tự doanh > Năm 2019,Kinh doanh nguồn vốn > Năm 2019,Quản lý danh mục > Năm 2019,Ngân hàng đầu tư và các bộ phận khác > Năm 2019,Đơn vị tính: VND Tổng cộng > Năm 2019,numeric__Môi giới và dịch vụ khách hàng (1) > Năm 2019,numeric__Tự doanh > Năm 2019,numeric__Kinh doanh nguồn vốn > Năm 2019,numeric__Quản lý danh mục > Năm 2019,numeric__Ngân hàng đầu tư và các bộ phận khác > Năm 2019,numeric__Đơn vị tính: VND Tổng cộng > Năm 2019
1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1.317.173.493.995,826.923.548.800,1.030.775.564.521,33.835.686.808,99.843.829.945,3.308.552.124.069,1317173493995.0,826923548800.0,1030775564521.0,33835686808.0,99843829945.0,3308552124069.0
2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,790.452.757.653,445.549.377.105,702.516.927.748,20.094.454.051,51.176.792.284,2.009.790.308.841,790452757653.0,445549377105.0,702516927748.0,20094454051.0,51176792284.0,2009790308841.0
3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,119.807.717.339,25.577.113.132,15.459.060.301,7.729.530.151,24.664.832.848,193.238.253.771,119807717339.0,25577113132.0,15459060301.0,7729530151.0,24664832848.0,193238253771.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,406.913.019.003,355.797.058.563,312.799.576.472,6.011.702.606,24.002.204.813,1.105.523.561.457,406913019003.0,355797058563.0,312799576472.0,6011702606.0,24002204813.0,1105523561457.0
Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,,,,,,
1. Tài sản bộ phận,Số dư tại ngày 31 tháng 12 năm 2019 > 1. Tài sản bộ phận,1. Tài sản bộ phận,5.365.175.232.762,6.122.949.379.716,14.906.970.252.591,68.636.216.870,26.391.132.359,26.490.122.214.298,5365175232762.0,6122949379716.0,14906970252591.0,68636216870.0,26391132359.0,26490122214298.0
2. Tài sản phân bổ,Số dư tại ngày 31 tháng 12 năm 2019 > 2. Tài sản phân bổ,2. Tài sản phân bổ,168.988.848.584,38.158.772.261,21.805.012.721,10.902.506.360,32.707.519.081,272.562.659.007,168988848584.0,38158772261.0,21805012721.0,10902506360.0,32707519081.0,272562659007.0
3. Tài sản không phân bổ,Số dư tại ngày 31 tháng 12 năm 2019 > 3. Tài sản không phân bổ,3. Tài sản không phân bổ,-,-,-,-,-,281.430.151.608,,,,,,281430151608.0
Tổng tài sản,Số dư tại ngày 31 tháng 12 năm 2019 > Tổng tài sản,Tổng tài sản,5.534.164.081.346,6.161.108.151.977,14.928.775.265.312,79.538.723.230,59.098.651.440,27.044.115.024.913,5534164081346.0,6161108151977.0,14928775265312.0,79538723230.0,59098651440.0,27044115024913.0
4. Nợ phải trả bộ phận,Số dư tại ngày 31 tháng 12 năm 2019 > 4. Nợ phải trả bộ phận,4. Nợ phải trả bộ phận,1.997.469.537.515,691.799.021.437,14.484.195.452.339,6.790.837.095,11.318.800.163,17.191.573.648.549,1997469537515.0,691799021437.0,14484195452339.0,6790837095.0,11318800163.0,17191573648549.0
5. Nợ phân bổ,Số dư tại ngày 31 tháng 12 năm 2019 > 5. Nợ phân bổ,5. Nợ phân bổ,180.128.955.830,40.674.280.349,23.242.445.914,11.621.222.957,34.863.668.870,290.530.573.920,180128955830.0,40674280349.0,23242445914.0,11621222957.0,34863668870.0,290530573920.0
6. Nợ không phân bổ,Số dư tại ngày 31 tháng 12 năm 2019 > 6. Nợ không phân bổ,6. Nợ không phân bổ,-,-,-,-,-,160.951.022.239,,,,,,160951022239.0
Tổng công nợ,Số dư tại ngày 31 tháng 12 năm 2019 > Tổng công nợ,Tổng công nợ,2.177.598.493.345,732.473.301.786,14.507.437.898.253,18.412.060.052,46.182.469.033,17.643.055.244.708,2177598493345.0,732473301786.0,14507437898253.0,18412060052.0,46182469033.0,17643055244708.0
