row_label_raw,row_label_full,CHÍ TIÊU,Thuyết minh,Số dư đầu năm > Ngày 1 tháng 1 năm2019 > VND,Số dư đầu năm > Ngày 1 tháng 1 năm2020 > VND,Số tăng/glảm > Năm trước > Tăng > VND,Số tăng/glảm > Năm trước > Giảm > VND,Số tăng/glảm > Năm nay > Tăng > VND,Số tăng/glảm > Năm nay > Giảm > VND,Số dư cuối năm > Ngày 31 tháng 12năm 2019 > VND,Số dư cuối năm > Ngày 31 tháng 12năm 2020 > VND,numeric__Thuyết minh,numeric__Số dư đầu năm > Ngày 1 tháng 1 năm2019 > VND,numeric__Số dư đầu năm > Ngày 1 tháng 1 năm2020 > VND,numeric__Số tăng/glảm > Năm trước > Tăng > VND,numeric__Số tăng/glảm > Năm trước > Giảm > VND,numeric__Số tăng/glảm > Năm nay > Tăng > VND,numeric__Số tăng/glảm > Năm nay > Giảm > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12năm 2019 > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12năm 2020 > VND
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
I. BIÊN ĐỒNGVỐN CHỦ SỒHỮU,I. BIÊN ĐỒNGVỐN CHỦ SỒHỮU,I. BIÊN ĐỒNGVỐN CHỦ SỒHỮU,,,,,,,,,,,,,,,,,,
1. Vốn đầu tư củachủ sở hữu,I. BIÊN ĐỒNGVỐN CHỦ SỒHỮU > 1. Vốn đầu tư củachủ sở hữu,1. Vốn đầu tư củachủ sở hữu,,5.235.152.952.935,5.224.760.213.535,(10.392.739.400),-,913.283.805.499,-,5.224.760.213.535,6.138.044.019.034,,5235152952935.0,5224760213535.0,-10392739400.0,,913283805499.0,,5224760213535.0,6138044019034.0
1.1. Cổ phiếu phổthống,I. BIÊN ĐỒNGVỐN CHỦ SỒHỮU > 1.1. Cổ phiếu phổthống,1.1. Cổ phiếu phổthống,29.2,5.100.636.840.000,5.100.636.840.000,-,-,928.819.290.000,-,5.100.636.840.000,6.029.456.130.000,292.0,5100636840000.0,5100636840000.0,,,928819290000.0,,5100636840000.0,6029456130000.0
1.2. Thông dư vốncổ phần,I. BIÊN ĐỒNGVỐN CHỦ SỒHỮU > 1.2. Thông dư vốncổ phần,1.2. Thông dư vốncổ phần,,29.470.756.034,29.470.756.034,-,-,-,-,29.470.756.034,29.470.756.034,,29470756034.0,29470756034.0,,,,,29470756034.0,29470756034.0
1.3. Quyền chọnchuyên đối trảiphiếu – Cấuphản vốn,I. BIÊN ĐỒNGVỐN CHỦ SỒHỮU > 1.3. Quyền chọnchuyên đối trảiphiếu – Cấuphản vốn,1.3. Quyền chọnchuyên đối trảiphiếu – Cấuphản vốn,,113.779.095.785,113.779.095.785,-,-,-,-,113.779.095.785,113.779.095.785,,113779095785.0,113779095785.0,,,,,113779095785.0,113779095785.0
1.4. Cổ phiếu quỹ,I. BIÊN ĐỒNGVỐN CHỦ SỒHỮU > 1.4. Cổ phiếu quỹ,1.4. Cổ phiếu quỹ,,(8.733.738.884),(19.126.478.284),(10.392.739.400),-,(15.535.484.501),-,(19.126.478.284),(34.661.962.785),,-8733738884.0,-19126478284.0,-10392739400.0,,-15535484501.0,,-19126478284.0,-34661962785.0
2. Quỹ dư trữ bổsung vốn điều lệ,I. BIÊN ĐỒNGVỐN CHỦ SỒHỮU > 2. Quỹ dư trữ bổsung vốn điều lệ,2. Quỹ dư trữ bổsung vốn điều lệ,,412.057.165.307,477.303.674.335,65.246.509.028,-,44.883.670.314,-,477.303.674.335,522.187.344.849,,412057165307.0,477303674335.0,65246509028.0,,44883670314.0,,477303674335.0,522187344849.0
3. Quỹ dư phòngtài chính và Sulro nghiệp vụ,I. BIÊN ĐỒNGVỐN CHỦ SỒHỮU > 3. Quỹ dư phòngtài chính và Sulro nghiệp vụ,3. Quỹ dư phòngtài chính và Sulro nghiệp vụ,,327.549.570.623,392.796.079.651,65.246.509.028,-,44.883.670.314,-,392.796.079.651,437.679.749.965,,327549570623.0,392796079651.0,65246509028.0,,44883670314.0,,392796079651.0,437679749965.0
4. Chênh lệchđánh giá lại tàisản theo gàtri hợp lý,I. BIÊN ĐỒNGVỐN CHỦ SỒHỮU > 4. Chênh lệchđánh giá lại tàisản theo gàtri hợp lý,4. Chênh lệchđánh giá lại tàisản theo gàtri hợp lý,,277.801.019.026,259.495.169.033,99.860.975.189,(118.166.825.182),30.859.762.724,(295.077.208.363),259.495.169.033,(4.722.278.606),,277801019026.0,259495169033.0,99860975189.0,-118166825182.0,30859762724.0,-295077208363.0,259495169033.0,-4722278606.0
