row_label_raw,row_label_full,col_0,Tổng cộng,Số dư đã dự phòng,Không quá hạn và không bị suy giảm,Quá hạn nhưng không bị suy giảm,Quá hạn nhưng không bị suy giảm_1,Quá hạn nhưng không bị suy giảm_2,Quá hạn nhưng không bị suy giảm_3,numeric__Tổng cộng,numeric__Số dư đã dự phòng,numeric__Không quá hạn và không bị suy giảm,numeric__Quá hạn nhưng không bị suy giảm,numeric__Quá hạn nhưng không bị suy giảm_1,numeric__Quá hạn nhưng không bị suy giảm_2,numeric__Quá hạn nhưng không bị suy giảm_3
,,,Tổng cộng,Số dư đã dự phòng,Không quá hạn và không bị suy giảm,< 90 ngày,91-180 ngày,181-210 ngày,>210 ngày,,,,,,,
Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),5.359.342.228.084,30.286.750.665,5.329.024.126.928,6.590.290,6.300.966,1.973.476,16.485.759,5359342228084.0,30286750665.0,5329024126928.0,6590290.0,6300966.0,1973476.0,16485759.0
Số cuối năm,Số cuối năm,Số cuối năm,9.226.158.205.627,30.296.258.180,9.195.818.564.551,6.642.864,8.102.521,706.586,27.930.925,9226158205627.0,30296258180.0,9195818564551.0,6642864.0,8102521.0,706586.0,27930925.0
