row_label_raw,row_label_full,Các loại tài sảntài chính,Số cuối năm > Giá mua/Giả gốc,Số cuối năm > Chênh lệch đánh giá > Chênh lệch tăng,Số cuối năm > Chênh lệch đánh giá > Chênh lệch giảm,Số cuối năm > Giá trị đánh giá lại,Số đầu năm > Giá mua/Giả gốc,Số đầu năm > Chênh lệch đánh giá > Chênh lệch tăng,Số đầu năm > Chênh lệch đánh giá > Chênh lệch giảm,Số đầu năm > Giá trị đánh giá lại,numeric__Số cuối năm > Giá mua/Giả gốc,numeric__Số cuối năm > Chênh lệch đánh giá > Chênh lệch tăng,numeric__Số cuối năm > Chênh lệch đánh giá > Chênh lệch giảm,numeric__Số cuối năm > Giá trị đánh giá lại,numeric__Số đầu năm > Giá mua/Giả gốc,numeric__Số đầu năm > Chênh lệch đánh giá > Chênh lệch tăng,numeric__Số đầu năm > Chênh lệch đánh giá > Chênh lệch giảm,numeric__Số đầu năm > Giá trị đánh giá lại
FVTPL,FVTPL,FVTPL,13.208.612.928.755,129.157.925.401,(85.317.345.075),13.252.453.509.081,4.553.053.867.448,36.744.185.844,(274.553.280.225),4.315.244.773.067,13208612928755.0,129157925401.0,-85317345075.0,13252453509081.0,4553053867448.0,36744185844.0,-274553280225.0,4315244773067.0
Cổ phiếu vàchủng khoảnniêm yết,Cổ phiếu vàchủng khoảnniêm yết,Cổ phiếu vàchủng khoảnniêm yết,1.509.746.467.717,101.897.135.034,(65.551.660.691),1.546.091.942.060,1.672.963.319.466,25.940.820.150,(251.619.095.966),1.447.285.043.650,1509746467717.0,101897135034.0,-65551660691.0,1546091942060.0,1672963319466.0,25940820150.0,-251619095966.0,1447285043650.0
Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủi rocủa chứngquyền,Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủi rocủa chứngquyền,Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủi rocủa chứngquyền,497.988.719.529,27.260.790.367,(208.766.296),525.040.743.600,147.825.259.973,3.718.365.694,(3.377.266.167),148.166.359.500,497988719529.0,27260790367.0,-208766296.0,525040743600.0,147825259973.0,3718365694.0,-3377266167.0,148166359500.0
Cổ phiếu vàchủng chỉ quỹchưa niêm yếtTrải phiếu,Cổ phiếu vàchủng chỉ quỹchưa niêm yếtTrải phiếu,Cổ phiếu vàchủng chỉ quỹchưa niêm yếtTrải phiếu,54.082.228.373,-,(19.556.918.088),34.525.310.285,399.114.275.313,7.085.000.000,(19.556.918.092),386.642.357.221,54082228373.0,,-19556918088.0,34525310285.0,399114275313.0,7085000000.0,-19556918092.0,386642357221.0
chưa niêm yếtChứng chỉ tiềngửi,chưa niêm yếtChứng chỉ tiềngửi,chưa niêm yếtChứng chỉ tiềngửi,2.282.847.114.683,-,-,2.282.847.114.683,791.847.533.546,-,-,791.847.533.546,2282847114683.0,,,2282847114683.0,791847533546.0,,,791847533546.0
chưa niêm yếtChứng chỉ tiềngửi,chưa niêm yếtChứng chỉ tiềngửi,chưa niêm yếtChứng chỉ tiềngửi,8.863.948.398.453,-,-,8.863.948.398.453,1.541.303.479.150,-,-,1.541.303.479.150,8863948398453.0,,,8863948398453.0,1541303479150.0,,,1541303479150.0
AFS,AFS,AFS,191.347.164.707,-,(5.670.534.889),185.676.629.818,429.604.461.632,354.712.424.223,(24.274.770.351),760.042.115.504,191347164707.0,,-5670534889.0,185676629818.0,429604461632.0,354712424223.0,-24274770351.0,760042115504.0
Cổ phiếu niêmyết,Cổ phiếu niêmyết,Cổ phiếu niêmyết,-,-,-,-,251.088.814.728,354.712.424.223,(14.697.025.351),591.104.213.600,,,,,251088814728.0,354712424223.0,-14697025351.0,591104213600.0
Cổ phiếu chưamiêm yết,Cổ phiếu chưamiêm yết,Cổ phiếu chưamiêm yết,191.347.164.707,-,(5.670.534.889),185.676.629.818,178.515.646.904,-,(9.577.745.000),168.937.901.904,191347164707.0,,-5670534889.0,185676629818.0,178515646904.0,,-9577745000.0,168937901904.0
Tổng cộng,Tổng cộng,Tổng cộng,13.399.960.093.462,129.157.925.401,(90.987.879.964),13.438.130.138.899,4.982.658.329.080,391.456.610.067,(298.828.050.576),5.075.286.888.571,13399960093462.0,129157925401.0,-90987879964.0,13438130138899.0,4982658329080.0,391456610067.0,-298828050576.0,5075286888571.0
