row_label_raw,row_label_full,col_0,Đơn vị tính: VND,numeric__Đơn vị tính: VND
,,,Nhà và đất,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Ngày 1 tháng 1 năm 2020,Nguyên giá > Ngày 1 tháng 1 năm 2020,Ngày 1 tháng 1 năm 2020,278.276.169.317,278276169317.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(903.103.102),-903103102.0
- Đánh giá lại tỷ giá khi chuyển đổi báo cáo công ty con,Nguyên giá > - Đánh giá lại tỷ giá khi chuyển đổi báo cáo công ty con,- Đánh giá lại tỷ giá khi chuyển đổi báo cáo công ty con,(903.103.102),-903103102.0
Ngày 31 tháng 12 năm 2020,Nguyên giá > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,277.373.066.215,277373066215.0
Giá trị hao mòn lũy kề,Giá trị hao mòn lũy kề,Giá trị hao mòn lũy kề,Giá trị hao mòn lũy kề,
Ngày 1 tháng 1 năm 2020,Giá trị hao mòn lũy kề > Ngày 1 tháng 1 năm 2020,Ngày 1 tháng 1 năm 2020,72.499.636.567,72499636567.0
Tăng trong năm,Giá trị hao mòn lũy kề > Tăng trong năm,Tăng trong năm,8.370.989.310,8370989310.0
- Hao mòn trong năm,Giá trị hao mòn lũy kề > - Hao mòn trong năm,- Hao mòn trong năm,8.370.989.310,8370989310.0
Giảm trong năm,Giá trị hao mòn lũy kề > Giảm trong năm,Giảm trong năm,(265.310.676),-265310676.0
- Đánh giá tỷ giá khi chuyển đổi báo cáo công ty con,Giá trị hao mòn lũy kề > - Đánh giá tỷ giá khi chuyển đổi báo cáo công ty con,- Đánh giá tỷ giá khi chuyển đổi báo cáo công ty con,(265.310.676),-265310676.0
Ngày 31 tháng 12 năm 2020,Giá trị hao mòn lũy kề > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,80.605.315.201,80605315201.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Ngày 1 tháng 1 năm 2020,Giá trị còn lại > Ngày 1 tháng 1 năm 2020,Ngày 1 tháng 1 năm 2020,205.776.532.750,205776532750.0
Ngày 31 tháng 12 năm 2020,Giá trị còn lại > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,196.767.751.014,196767751014.0
