row_label_raw,row_label_full,Năm 2020,Môi giới và dịch vụ khách hàng (1) > Năm 2020,Tự doanh > Năm 2020,Kinh doanh nguồn vốn > Năm 2020,Quản lý danh mục > Năm 2020,Ngân hàng đầu tư và các bộ phận khác > Năm 2020,Đơn vị tính: VND Tổng cộng > Năm 2020,numeric__Môi giới và dịch vụ khách hàng (1) > Năm 2020,numeric__Tự doanh > Năm 2020,numeric__Kinh doanh nguồn vốn > Năm 2020,numeric__Quản lý danh mục > Năm 2020,numeric__Ngân hàng đầu tư và các bộ phận khác > Năm 2020,numeric__Đơn vị tính: VND Tổng cộng > Năm 2020
1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1.378.399.664.618,2.048.002.526.693,1.029.488.952.274,27.506.404.337,97.430.763.702,4.580.828.311.624,1378399664618.0,2048002526693.0,1029488952274.0,27506404337.0,97430763702.0,4580828311624.0
2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,842.422.354.690,1.355.082.231.972,552.810.252.609,18.237.019.696,70.567.027.242,2.839.118.886.209,842422354690.0,1355082231972.0,552810252609.0,18237019696.0,70567027242.0,2839118886209.0
3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,125.226.175.440,18.820.757.543,11.914.902.281,9.189.391.404,19.004.913.684,184.156.140.352,125226175440.0,18820757543.0,11914902281.0,9189391404.0,19004913684.0,184156140352.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,410.751.134.488,674.099.537.178,464.763.797.384,79.993.237,7.858.822.776,1.557.553.285.063,410751134488.0,674099537178.0,464763797384.0,79993237.0,7858822776.0,1557553285063.0
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,,,,,,
1. Tài sản bổ phân,Số dư tại ngày 31 tháng 12 năm 2020 > 1. Tài sản bổ phân,1. Tài sản bổ phân,9.232.293.798.160,14.811.594.746.607,11.145.128.560.060,57.468.007.697,13.671.427.226,35.260.156.539.750,9232293798160.0,14811594746607.0,11145128560060.0,57468007697.0,13671427226.0,35260156539750.0
2. Tài sản phân bổ,Số dư tại ngày 31 tháng 12 năm 2020 > 2. Tài sản phân bổ,2. Tài sản phân bổ,184.544.848.970,27.736.005.242,17.558.899.601,13.542.335.241,28.007.394.726,271.389.483.780,184544848970.0,27736005242.0,17558899601.0,13542335241.0,28007394726.0,271389483780.0
3. Tài sản không phân bổ,Số dư tại ngày 31 tháng 12 năm 2020 > 3. Tài sản không phân bổ,3. Tài sản không phân bổ,-,-,-,-,-,237.981.964.710,,,,,,237981964710.0
Tổng tài sản,Số dư tại ngày 31 tháng 12 năm 2020 > Tổng tài sản,Tổng tài sản,9.416.838.647.130,14.839.330.751.849,11.162.687.459.661,71.010.342.938,41.678.821.952,35.769.528.008.240,9416838647130.0,14839330751849.0,11162687459661.0,71010342938.0,41678821952.0,35769528008240.0
4. Nợ phải trả bổ phàn,Số dư tại ngày 31 tháng 12 năm 2020 > 4. Nợ phải trả bổ phàn,4. Nợ phải trả bổ phàn,2.173.948.026.776,9.838.271.216.524,13.463.058.112.646,1.896.281.678,6.644.664.873,25.483.818.302.497,2173948026776.0,9838271216524.0,13463058112646.0,1896281678.0,6644664873.0,25483818302497.0
5. Nợ phân bổ,Số dư tại ngày 31 tháng 12 năm 2020 > 5. Nợ phân bổ,5. Nợ phân bổ,174.075.359.330,26.162.502.535,16.562.758.454,12.774.059.457,26.418.495.710,255.993.175.486,174075359330.0,26162502535.0,16562758454.0,12774059457.0,26418495710.0,255993175486.0
6. Nợ không phân bổ,Số dư tại ngày 31 tháng 12 năm 2020 > 6. Nợ không phân bổ,6. Nợ không phân bổ,-,-,-,-,-,156.919.477.938,,,,,,156919477938.0
Tổng công nợ,Số dư tại ngày 31 tháng 12 năm 2020 > Tổng công nợ,Tổng công nợ,2.348.023.386.106,9.864.433.719.059,13.479.620.871.100,14.670.341.135,33.063.160.583,25.896.730.955.921,2348023386106.0,9864433719059.0,13479620871100.0,14670341135.0,33063160583.0,25896730955921.0
