row_label_raw,row_label_full,Bên cho vay,31/12/2025,01/01/2025,numeric__31/12/2025,numeric__01/01/2025
1. Vay ngắn hạn ngân hàng,1. Vay ngắn hạn ngân hàng,1. Vay ngắn hạn ngân hàng,439.465.460.911,2.252.100.860.793,439465460911.0,2252100860793.0
Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (2),Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (2),Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (2),50.116.300.000,485.469.000.000,50116300000.0,485469000000.0
Maybank International Labuan Branch (2),Maybank International Labuan Branch (2),Maybank International Labuan Branch (2),50.116.300.000,485.469.000.000,50116300000.0,485469000000.0
Deutsche Investitions-und Entwicklungsgesellschaft mbH (3),Deutsche Investitions-und Entwicklungsgesellschaft mbH (3),Deutsche Investitions-und Entwicklungsgesellschaft mbH (3),339.132.860.911,328.512.860.793,339132860911.0,328512860793.0
Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh 1 - (2),Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh 1 - (2),Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh 1 - (2),-,17.250.000.000,,17250000000.0
Ngân hàng TMCP Phát Triển Tp.HCM - Hội sở (3),Ngân hàng TMCP Phát Triển Tp.HCM - Hội sở (3),Ngân hàng TMCP Phát Triển Tp.HCM - Hội sở (3),100.000.000,100.000.000,100000000.0,100000000.0
Ngân hàng TMCP Quân đội CN Bắc Sài Gòn (1),Ngân hàng TMCP Quân đội CN Bắc Sài Gòn (1),Ngân hàng TMCP Quân đội CN Bắc Sài Gòn (1),-,935.300.000.000,,935300000000.0
2. Vay dài hạn ngân hàng,2. Vay dài hạn ngân hàng,2. Vay dài hạn ngân hàng,915.968.400.000,200.000.000,915968400000.0,200000000.0
Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (2),Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (2),Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (2),451.046.700.000,-,451046700000.0,
Maybank International Labuan Branch (2),Maybank International Labuan Branch (2),Maybank International Labuan Branch (2),451.046.700.000,-,451046700000.0,
Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh 1 - (2),Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh 1 - (2),Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh 1 - (2),13.775.000.000,-,13775000000.0,
Ngân hàng TMCP Phát Triển Tp.HCM - Hội sở (3),Ngân hàng TMCP Phát Triển Tp.HCM - Hội sở (3),Ngân hàng TMCP Phát Triển Tp.HCM - Hội sở (3),100.000.000,200.000.000,100000000.0,200000000.0
Cộng,Cộng,Cộng,1.355.433.860.911,2.252.300.860.793,1355433860911.0,2252300860793.0
