row_label_raw,row_label_full,Số dư đầu năm > Tăng trong năm,Năm 2025 > 4.107.799.041 > 11.472.200.428,Năm 2024 > 6.451.621.122 > -,numeric__Năm 2025 > 4.107.799.041 > 11.472.200.428,numeric__Năm 2024 > 6.451.621.122 > -
Kết chuyển sang hàng tồn kho,Kết chuyển sang hàng tồn kho,Kết chuyển sang hàng tồn kho,-,(730.149.429),,-730149429.0
Khác,Khác,Khác,-,(1.613.672.652),,-1613672652.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,15.579.999.469,4.107.799.041,15579999469.0,4107799041.0
