row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,31/12/2025,01/01/2025,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025,numeric__01/01/2025
C. NỘ PHÁI TRẢ(300 = 310 + 330),C. NỘ PHÁI TRẢ(300 = 310 + 330),C. NỘ PHÁI TRẢ(300 = 310 + 330),C. NỘ PHÁI TRẢ(300 = 310 + 330),300,,53.907.395.542.524,67.191.913.586.293,,300.0,,53907395542524.0,67191913586293.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,27.309.138.650.559,38.205.302.121.048,,310.0,,27309138650559.0,38205302121048.0
1.,1.,1.,Phải trả cho người bán ngắn hạn,311,V.14,328.684.603.486,325.072.414.584,,311.0,,328684603486.0,325072414584.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,V.15,250.203.419.691,281.403.665.254,,312.0,,250203419691.0,281403665254.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,V.16a,5.398.472.744,3.176.909.131,,313.0,,5398472744.0,3176909131.0
4.,4.,4.,Phải trả người lao động,314,,3.094.879.400,1.536.456.261,,314.0,,3094879400.0,1536456261.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,V.17a,6.472.114.666.141,5.407.835.233.567,,315.0,,6472114666141.0,5407835233567.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,V.18,1.372.105.248,1.372.105.248,,318.0,,1372105248.0,1372105248.0
7.,7.,7.,Phải trả ngắn hạn khác,319,V.19a,2.477.225.039.326,6.455.452.790.362,,319.0,,2477225039326.0,6455452790362.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,V.20a,17.766.210.757.174,25.724.617.839.292,,320.0,,17766210757174.0,25724617839292.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,,4.834.707.349,4.834.707.349,,322.0,,4834707349.0,4834707349.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,26.598.256.891.965,28.986.611.465.245,,330.0,,26598256891965.0,28986611465245.0
1.,1.,1.,Chi phí phải trả dài hạn,333,V.17b,557.840.170.239,342.309.912.572,,333.0,,557840170239.0,342309912572.0
2.,2.,2.,Doanh thu chưa thực hiện dài hạn,336,V.18,54.769.867.484,56.141.972.724,,336.0,,54769867484.0,56141972724.0
3.,3.,3.,Phải trả dài hạn khác,337,V.19b,12.445.661.845.521,18.647.409.000.000,,337.0,,12445661845521.0,18647409000000.0
4.,4.,4.,Vay và nợ thuê tài chính dài hạn,338,V.20b,13.539.985.008.721,9.938.338.203.399,,338.0,,13539985008721.0,9938338203399.0
5.,5.,5.,Dự phòng phải trả dài hạn,342,V.21,-,2.412.376.550,,342.0,,,2412376550.0
