row_label_raw,row_label_full,2b.1. Giao dịch phát sinh bên liên quan trên kết quả kinh doanh,Phát sinh trong năm > Năm 2025,Phát sinh trong năm > Năm 2024,numeric__Phát sinh trong năm > Năm 2025,numeric__Phát sinh trong năm > Năm 2024
1. Doanh thu cung cấp dịch vụ,1. Doanh thu cung cấp dịch vụ,1. Doanh thu cung cấp dịch vụ,100.788.749.686,79.917.609.240,100788749686.0,79917609240.0
Công ty TNHH Đầu tư và Phát triển Bất động sản Cửu Long,Công ty TNHH Đầu tư và Phát triển Bất động sản Cửu Long,Công ty TNHH Đầu tư và Phát triển Bất động sản Cửu Long,21.350.540.608,9.623.188.000,21350540608.0,9623188000.0
Công ty TNHH Bất động sản Nova Riverside,Công ty TNHH Bất động sản Nova Riverside,Công ty TNHH Bất động sản Nova Riverside,11.861.411.448,9.623.188.000,11861411448.0,9623188000.0
Công ty Cổ phần Phát triển Đất Việt,Công ty Cổ phần Phát triển Đất Việt,Công ty Cổ phần Phát triển Đất Việt,11.861.411.448,9.623.188.000,11861411448.0,9623188000.0
Công ty TNHH Thành phố Aqua,Công ty TNHH Thành phố Aqua,Công ty TNHH Thành phố Aqua,11.861.411.448,9.623.188.000,11861411448.0,9623188000.0
Công ty TNHH Bất động sản Đà Lạt Valley,Công ty TNHH Bất động sản Đà Lạt Valley,Công ty TNHH Bất động sản Đà Lạt Valley,11.861.411.448,9.623.188.000,11861411448.0,9623188000.0
Công ty Cổ phần Địa Óc Ngân Hiệp,Công ty Cổ phần Địa Óc Ngân Hiệp,Công ty Cổ phần Địa Óc Ngân Hiệp,11.861.411.448,9.623.188.000,11861411448.0,9623188000.0
Công ty TNHH Delta-Valley Bình Thuận,Công ty TNHH Delta-Valley Bình Thuận,Công ty TNHH Delta-Valley Bình Thuận,11.861.411.448,9.623.188.000,11861411448.0,9623188000.0
Công ty Cổ phần Kinh Doanh Bất Đông Sản Thái Bình,Công ty Cổ phần Kinh Doanh Bất Đông Sản Thái Bình,Công ty Cổ phần Kinh Doanh Bất Đông Sản Thái Bình,2.372.282.288,9.623.188.000,2372282288.0,9623188000.0
Công ty TNHH MTV Novaland Agent,Công ty TNHH MTV Novaland Agent,Công ty TNHH MTV Novaland Agent,1.560.000.000,1.560.000.000,1560000000.0,1560000000.0
Công ty Cổ phần Đầu tư Địa Óc No Va,Công ty Cổ phần Đầu tư Địa Óc No Va,Công ty Cổ phần Đầu tư Địa Óc No Va,1.482.676.431,-,1482676431.0,
Công ty TNHH Bất Đông Sản Gia Đức,Công ty TNHH Bất Đông Sản Gia Đức,Công ty TNHH Bất Đông Sản Gia Đức,1.482.676.431,-,1482676431.0,
Công ty TNHH Nova Property Management,Công ty TNHH Nova Property Management,Công ty TNHH Nova Property Management,1.372.105.240,1.372.105.240,1372105240.0,1372105240.0
2. Doanh thu hoạt động tài chính,2. Doanh thu hoạt động tài chính,2. Doanh thu hoạt động tài chính,626.411.435.574,628.756.956.489,626411435574.0,628756956489.0
Lãi từ hợp tác kinh doanh,Lãi từ hợp tác kinh doanh,Lãi từ hợp tác kinh doanh,601.068.000.000,602.714.761.644,601068000000.0,602714761644.0
Công ty TNHH Bất động sản Đà Lạt Valley,Công ty TNHH Bất động sản Đà Lạt Valley,Công ty TNHH Bất động sản Đà Lạt Valley,601.068.000.000,602.714.761.644,601068000000.0,602714761644.0
Cổ tức lợi nhuận được chia,Cổ tức lợi nhuận được chia,Cổ tức lợi nhuận được chia,25.343.435.574,26.042.194.845,25343435574.0,26042194845.0
Công ty TNHH Bất động sản Bách Hợp,Công ty TNHH Bất động sản Bách Hợp,Công ty TNHH Bất động sản Bách Hợp,19.872.180.172,-,19872180172.0,
Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,5.471.255.402,5.640.022.845,5471255402.0,5640022845.0
Công ty TNHH Địa Óc No Va Mỹ Đình,Công ty TNHH Địa Óc No Va Mỹ Đình,Công ty TNHH Địa Óc No Va Mỹ Đình,-,13.402.522.000,,13402522000.0
Công ty TNHH Nova Lucky Palace,Công ty TNHH Nova Lucky Palace,Công ty TNHH Nova Lucky Palace,-,6.999.650.000,,6999650000.0
3. Chi phí tài chính,3. Chi phí tài chính,3. Chi phí tài chính,71.102.523.566,48.134.735.909,71102523566.0,48134735909.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,71.102.523.566,48.134.735.909,71102523566.0,48134735909.0
Công ty TNHH Đầu tư Bất động sản Long Hưng Phát,Công ty TNHH Đầu tư Bất động sản Long Hưng Phát,Công ty TNHH Đầu tư Bất động sản Long Hưng Phát,33.068.464.488,30.335.315.075,33068464488.0,30335315075.0
Công ty Cổ phần Đầu tư Địa Óc No Va,Công ty Cổ phần Đầu tư Địa Óc No Va,Công ty Cổ phần Đầu tư Địa Óc No Va,12.182.733.457,6.961.302.315,12182733457.0,6961302315.0
Công ty TNHH Địa Óc No Va Mỹ Đình,Công ty TNHH Địa Óc No Va Mỹ Đình,Công ty TNHH Địa Óc No Va Mỹ Đình,7.701.453.874,4.971.567.560,7701453874.0,4971567560.0
Công ty Cổ phần Địa Óc Thành Nhơn,Công ty Cổ phần Địa Óc Thành Nhơn,Công ty Cổ phần Địa Óc Thành Nhơn,5.918.462.705,3.241.594.521,5918462705.0,3241594521.0
Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thuận Phát,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thuận Phát,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thuận Phát,4.892.661.371,1.931.313.698,4892661371.0,1931313698.0
Công ty TNHH Delta-Valley Bình Thuận,Công ty TNHH Delta-Valley Bình Thuận,Công ty TNHH Delta-Valley Bình Thuận,5.476.086.164,-,5476086164.0,
Công ty TNHH Du lịch Bình An,Công ty TNHH Du lịch Bình An,Công ty TNHH Du lịch Bình An,1.862.661.507,693.642.740,1862661507.0,693642740.0
