row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,"Nhà cửa, vật kiến trúc",Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Nhà cửa, vật kiến trúc",numeric__Tổng cộng
1. Nguyên giá,1. Nguyên giá,1. Nguyên giá,1. Nguyên giá,1. Nguyên giá,1. Nguyên giá,,,
Số dư đầu năm,1. Nguyên giá > Số dư đầu năm,Số dư đầu năm,76.447.986.206,311.019.347.682,387.467.333.888,76447986206.0,311019347682.0,387467333888.0
Số dư cuối năm,1. Nguyên giá > Số dư cuối năm,Số dư cuối năm,76.447.986.206,311.019.347.682,387.467.333.888,76447986206.0,311019347682.0,387467333888.0
2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,,,
Số dư đầu năm,2. Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,59.368.291.712,59.368.291.712,,59368291712.0,59368291712.0
Khấu hao trong năm,2. Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,6.092.808.179,6.092.808.179,,6092808179.0,6092808179.0
Số dư cuối năm,2. Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,65.461.099.891,65.461.099.891,,65461099891.0,65461099891.0
3. Giá trị còn lại (1-2),3. Giá trị còn lại (1-2),3. Giá trị còn lại (1-2),3. Giá trị còn lại (1-2),3. Giá trị còn lại (1-2),3. Giá trị còn lại (1-2),,,
Số dư đầu năm,3. Giá trị còn lại (1-2) > Số dư đầu năm,Số dư đầu năm,76.447.986.206,251.651.055.970,328.099.042.176,76447986206.0,251651055970.0,328099042176.0
Số dư cuối năm,3. Giá trị còn lại (1-2) > Số dư cuối năm,Số dư cuối năm,76.447.986.206,245.558.247.791,322.006.233.997,76447986206.0,245558247791.0,322006233997.0
