row_label_raw,row_label_full,STT,Tên công ty liên kết,31/12/2025 > Tỷ lệ sở hữu (%),31/12/2025 > Giá gốc,31/12/2025 > Dự phòng,31/12/2025 > Giá trị hợp lý,01/01/2025 > Tỷ lệ sở hữu %),01/01/2025 > Giá gốc,01/01/2025 > Dự phòng,numeric__Tên công ty liên kết,numeric__31/12/2025 > Tỷ lệ sở hữu (%),numeric__31/12/2025 > Giá gốc,numeric__31/12/2025 > Dự phòng,numeric__31/12/2025 > Giá trị hợp lý,numeric__01/01/2025 > Tỷ lệ sở hữu %),numeric__01/01/2025 > Giá gốc,numeric__01/01/2025 > Dự phòng
1,1,1,Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,"25,00%",60.600.000.000,-,(*),"25,00%",60.600.000.000,-,,0.25,60600000000.0,,,0.25,60600000000.0,
2,2,2,Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,"33,31%",14.792.060.000,-,(*),"33,31%",14.792.060.000,-,,0.3331,14792060000.0,,,0.3331,14792060000.0,
,,,Cộng,,75.392.060.000,-,,,75.392.060.000,-,,,75392060000.0,,,,75392060000.0,
