row_label_raw,row_label_full,Ngắn hạn,31/12/2025,01/01/2025,numeric__31/12/2025,numeric__01/01/2025
Phải trả bên liên quan (c),Phải trả bên liên quan (c),Phải trả bên liên quan (c),809.550.455.605,3.878.947.279.592,809550455605.0,3878947279592.0
Công ty Cổ phần Tư vấn Bắt động sản Bi Vi (2),Công ty Cổ phần Tư vấn Bắt động sản Bi Vi (2),Công ty Cổ phần Tư vấn Bắt động sản Bi Vi (2),388.820.357.740,388.820.357.740,388820357740.0,388820357740.0
Công ty Cổ phần Kinh doanh Nhà Nova,Công ty Cổ phần Kinh doanh Nhà Nova,Công ty Cổ phần Kinh doanh Nhà Nova,10.915.794.729,1.893.319.268.317,10915794729.0,1893319268317.0
Công ty Cổ phần Novareal,Công ty Cổ phần Novareal,Công ty Cổ phần Novareal,207.948.349.165,198.857.216.229,207948349165.0,198857216229.0
Chênh lệch góp vốn (xem Thuyết minh V.2 trang 36),Chênh lệch góp vốn (xem Thuyết minh V.2 trang 36),Chênh lệch góp vốn (xem Thuyết minh V.2 trang 36),943.624.674.646,-,943624674646.0,
Phải trả cho bên thứ ba khác,Phải trả cho bên thứ ba khác,Phải trả cho bên thứ ba khác,116.365.407.441,95.508.668.484,116365407441.0,95508668484.0
Cộng,Cộng,Cộng,2.477.225.039.326,6.455.452.790.362,2477225039326.0,6455452790362.0
