row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúc (*)",Máy mócthiết bị,Phương tiệnvận tải,Thiết bị dụng cụquản lý,Tài sản cố định hữuhình khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc (*)",numeric__Máy mócthiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bị dụng cụquản lý,numeric__Tài sản cố định hữuhình khác,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,522.086.755.185,18.832.891.670,12.173.963.437,51.800.958.377,99.000.000,604.993.568.669,522086755185.0,18832891670.0,12173963437.0,51800958377.0,99000000.0,604993568669.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,808.200.000,344.216.667,-,1.152.416.667,,,808200000.0,344216667.0,,1152416667.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,522.086.755.185,18.832.891.670,12.982.163.437,52.145.175.044,99.000.000,606.145.985.336,522086755185.0,18832891670.0,12982163437.0,52145175044.0,99000000.0,606145985336.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,80.321.547.580,10.465.398.610,9.447.943.170,51.313.931.585,99.000.000,151.647.820.945,80321547580.0,10465398610.0,9447943170.0,51313931585.0,99000000.0,151647820945.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,11.287.048.818,852.999.288,707.056.554,398.625.132,-,13.245.729.792,11287048818.0,852999288.0,707056554.0,398625132.0,,13245729792.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,91.608.596.398,11.318.397.898,10.154.999.724,51.712.556.717,99.000.000,164.893.550.737,91608596398.0,11318397898.0,10154999724.0,51712556717.0,99000000.0,164893550737.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,441.765.207.605,8.367.493.060,2.726.020.267,487.026.792,-,453.345.747.724,441765207605.0,8367493060.0,2726020267.0,487026792.0,,453345747724.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,430.478.158.787,7.514.493.772,2.827.163.713,432.618.327,-,441.252.434.599,430478158787.0,7514493772.0,2827163713.0,432618327.0,,441252434599.0
