row_label_raw,row_label_full,Lãi chuyển nhượng vốn (chi tiết xem thuyết minh V.2a),Năm 2025 > 1.832.423.803.352,Năm 2024 > 4.579.156.000.000,numeric__Năm 2025 > 1.832.423.803.352,numeric__Năm 2024 > 4.579.156.000.000
Lãi từ hợp đồng hợp tác đầu tư,Lãi từ hợp đồng hợp tác đầu tư,Lãi từ hợp đồng hợp tác đầu tư,838.150.564.169,979.744.898.632,838150564169.0,979744898632.0
"Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",25.343.435.574,26.042.194.845,25343435574.0,26042194845.0
Lãi tiền gửi ngân hàng,Lãi tiền gửi ngân hàng,Lãi tiền gửi ngân hàng,2.233.172.139,2.964.656.205,2233172139.0,2964656205.0
Lãi chênh lệch tỷ giá hối đoái đã thực hiện,Lãi chênh lệch tỷ giá hối đoái đã thực hiện,Lãi chênh lệch tỷ giá hối đoái đã thực hiện,26.183.872.286,12.468.246,26183872286.0,12468246.0
Doanh thu hoạt động tài chính khác,Doanh thu hoạt động tài chính khác,Doanh thu hoạt động tài chính khác,409.888,-,409888.0,
Cộng,Cộng,Cộng,2.724.335.257.408,5.587.920.217.928,2724335257408.0,5587920217928.0
Trong đó: Doanh thu tài chính bên liên quan,Trong đó: Doanh thu tài chính bên liên quan,Trong đó: Doanh thu tài chính bên liên quan,626.411.435.574,628.756.956.489,626411435574.0,628756956489.0
