row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm 2025,Năm 2024,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2025,numeric__Năm 2024
I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1. Lợi nhuận trước thuế,I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,,(802.583.305.445),169.660.608.736,1.0,,-802583305445.0,169660608736.0
2. Điều chỉnh cho các khoản :,2. Điều chỉnh cho các khoản :,2. Điều chỉnh cho các khoản :,2. Điều chỉnh cho các khoản :,2. Điều chỉnh cho các khoản :,2. Điều chỉnh cho các khoản :,2. Điều chỉnh cho các khoản :,,,,
- Khấu hao tài sản cố định và bất động sản đầu tư,2. Điều chỉnh cho các khoản : > - Khấu hao tài sản cố định và bất động sản đầu tư,- Khấu hao tài sản cố định và bất động sản đầu tư,02,"V.9,10,11",20.996.775.000,28.651.928.377,2.0,,20996775000.0,28651928377.0
- Các khoản dự phòng,2. Điều chỉnh cho các khoản : > - Các khoản dự phòng,- Các khoản dự phòng,03,"V.2,5",(104.929.018.313),115.982.801.279,3.0,,-104929018313.0,115982801279.0
- Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,2. Điều chỉnh cho các khoản : > - Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,- Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,,592.780.788.813,750.875.944.728,4.0,,592780788813.0,750875944728.0
- Lãi từ hoạt động đầu tư,2. Điều chỉnh cho các khoản : > - Lãi từ hoạt động đầu tư,- Lãi từ hoạt động đầu tư,05,VI.4,(1.819.135.596.250),(4.557.317.620.602),5.0,,-1819135596250.0,-4557317620602.0
- Chỉ phí lãi vay và chi phí phát hành trái phiếu,2. Điều chỉnh cho các khoản : > - Chỉ phí lãi vay và chi phí phát hành trái phiếu,- Chỉ phí lãi vay và chi phí phát hành trái phiếu,06,VI.5,3.278.623.908.778,3.952.693.822.997,6.0,,3278623908778.0,3952693822997.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản : > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,1.165.753.552.583,460.547.485.515,8.0,,1165753552583.0,460547485515.0
- (Tăng)/giảm các khoản phải thu,2. Điều chỉnh cho các khoản : > - (Tăng)/giảm các khoản phải thu,- (Tăng)/giảm các khoản phải thu,09,,1.370.102.296.415,(3.268.766.158.036),9.0,,1370102296415.0,-3268766158036.0
- (Tăng)/giảm hàng tồn kho,2. Điều chỉnh cho các khoản : > - (Tăng)/giảm hàng tồn kho,- (Tăng)/giảm hàng tồn kho,10,,200.263.887.758,10.826.820.396,10.0,,200263887758.0,10826820396.0
"- Tăng/(giảm) các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","2. Điều chỉnh cho các khoản : > - Tăng/(giảm) các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","- Tăng/(giảm) các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",11,,(8.418.766.687.003),1.784.860.991.974,11.0,,-8418766687003.0,1784860991974.0
- (Tăng)/giảm chi phí trả trước,2. Điều chỉnh cho các khoản : > - (Tăng)/giảm chi phí trả trước,- (Tăng)/giảm chi phí trả trước,12,,3.779.843.051,317.864.145,12.0,,3779843051.0,317864145.0
- Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản : > - Tiền lãi vay đã trả,- Tiền lãi vay đã trả,14,,(1.011.876.959.087),(804.159.310.402),14.0,,-1011876959087.0,-804159310402.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản : > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,(6.690.744.066.283),(1.816.372.306.408),20.0,,-6690744066283.0,-1816372306408.0
II. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
"1. Tiền chỉ đề mua sắm, xây dựng TSCĐ và các TSDH khác","II. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chỉ đề mua sắm, xây dựng TSCĐ và các TSDH khác","1. Tiền chỉ đề mua sắm, xây dựng TSCĐ và các TSDH khác",21,,(23.543.314.276),-,21.0,,-23543314276.0,
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác","II. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác",22,,-,2.450.205.130,22.0,,,2450205130.0
3. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,II. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,3. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,11.504.717.100.000,3.666.726.400.000,26.0,,11504717100000.0,3666726400000.0
"4. Tiền thu từ lãi cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền thu từ lãi cho vay, cổ tức và lợi nhuận được chia","4. Tiền thu từ lãi cho vay, cổ tức và lợi nhuận được chia",27,,21.973.782.785,77.254.927.566,27.0,,21973782785.0,77254927566.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,11.503.147.568.509,3.746.431.532.696,30.0,,11503147568509.0,3746431532696.0
