row_label_raw,row_label_full,col_0,Vay ngắn hậu,Vay dài hạn,Cộng,numeric__Vay ngắn hậu,numeric__Vay dài hạn,numeric__Cộng
Số dư nợ vay đầu năm,Số dư nợ vay đầu năm,Số dư nợ vay đầu năm,25.724.617.839.292,9.938.338.203.399,35.662.956.042.691,25724617839292.0,9938338203399.0,35662956042691.0
Phát sinh tăng vay trong năm,Phát sinh tăng vay trong năm,Phát sinh tăng vay trong năm,781.302.625.269,2.915.202.739.865,3.696.505.365.134,781302625269.0,2915202739865.0,3696505365134.0
Phát sinh giảm vay trong năm,Phát sinh giảm vay trong năm,Phát sinh giảm vay trong năm,(7.859.988.628.910),(706.734.732.708),(8.566.723.361.618),-7859988628910.0,-706734732708.0,-8566723361618.0
Đánh giá chênh lệch tỷ giá tăng,Đánh giá chênh lệch tỷ giá tăng,Đánh giá chênh lệch tỷ giá tăng,270.391.819.928,243.065.899.760,513.457.719.688,270391819928.0,243065899760.0,513457719688.0
Phân loại lại,Phân loại lại,Phân loại lại,(1.150.112.898.405),1.150.112.898.405,-,-1150112898405.0,1150112898405.0,
Số dư nợ vay cuối năm,Số dư nợ vay cuối năm,Số dư nợ vay cuối năm,17.766.210.757.174,13.539.985.008.721,31.306.195.765.895,17766210757174.0,13539985008721.0,31306195765895.0
