row_label_raw,row_label_full,2b.2. Giao dịch thu - chi tiền và giao dịch khác trong năm,Phát sinh trong năm > Năm 2025,Phát sinh trong năm > Năm 2024,numeric__Phát sinh trong năm > Năm 2025,numeric__Phát sinh trong năm > Năm 2024
1. Tiền thu từ cung cấp dịch vụ,1. Tiền thu từ cung cấp dịch vụ,1. Tiền thu từ cung cấp dịch vụ,60.544.813.855,65.936.070.708,60544813855.0,65936070708.0
Công ty TNHH Thành phố Aqua,Công ty TNHH Thành phố Aqua,Công ty TNHH Thành phố Aqua,19.813.090.525,6.928.695.360,19813090525.0,6928695360.0
Công ty Cổ Phần Địa Ốc Ngân Hiệp,Công ty Cổ Phần Địa Ốc Ngân Hiệp,Công ty Cổ Phần Địa Ốc Ngân Hiệp,12.608.884.255,9.528.056.120,12608884255.0,9528056120.0
Công ty TNHH Đầu tư và Phát triển Bất động sản Cửu Long,Công ty TNHH Đầu tư và Phát triển Bất động sản Cửu Long,Công ty TNHH Đầu tư và Phát triển Bất động sản Cửu Long,10.675.270.301,10.393.043.044,10675270301.0,10393043044.0
Công ty TNHH Bất động sản Nova Riverside,Công ty TNHH Bất động sản Nova Riverside,Công ty TNHH Bất động sản Nova Riverside,8.540.216.241,16.066.515.584,8540216241.0,16066515584.0
Công ty TNHH Delta Valley Bình Thuận,Công ty TNHH Delta Valley Bình Thuận,Công ty TNHH Delta Valley Bình Thuận,3.908.302.533,4.330.434.600,3908302533.0,4330434600.0
Công ty Cổ phần Đầu tư Phát triển NSQ,Công ty Cổ phần Đầu tư Phát triển NSQ,Công ty Cổ phần Đầu tư Phát triển NSQ,3.183.050.000,-,3183050000.0,
Công ty TNHH MTV Novaland Agent,Công ty TNHH MTV Novaland Agent,Công ty TNHH MTV Novaland Agent,1.716.000.000,660.000.000,1716000000.0,660000000.0
Công ty Cổ phần Phát triển Đất Việt,Công ty Cổ phần Phát triển Đất Việt,Công ty Cổ phần Phát triển Đất Việt,100.000.000,-,100000000.0,
Công ty TNHH Đầu tư Bất động sản Long Hưng Phát,Công ty TNHH Đầu tư Bất động sản Long Hưng Phát,Công ty TNHH Đầu tư Bất động sản Long Hưng Phát,-,7.341.520.000,,7341520000.0
Công ty TNHH Bất động sản Đà Lạt Valley,Công ty TNHH Bất động sản Đà Lạt Valley,Công ty TNHH Bất động sản Đà Lạt Valley,-,6.928.695.360,,6928695360.0
Công ty Cổ Phần Kinh Doanh Bất Đông Sản Thái Bình,Công ty Cổ Phần Kinh Doanh Bất Đông Sản Thái Bình,Công ty Cổ Phần Kinh Doanh Bất Đông Sản Thái Bình,-,3.759.110.640,,3759110640.0
2. Tiền thu từ đi vay,2. Tiền thu từ đi vay,2. Tiền thu từ đi vay,431.774.916.038,552.744.984.915,431774916038.0,552744984915.0
Công ty TNHH Delta Valley Bình Thuận,Công ty TNHH Delta Valley Bình Thuận,Công ty TNHH Delta Valley Bình Thuận,288.779.000.000,-,288779000000.0,
Công ty TNHH Đầu tư Bất động sản Long Hưng Phát,Công ty TNHH Đầu tư Bất động sản Long Hưng Phát,Công ty TNHH Đầu tư Bất động sản Long Hưng Phát,141.892.183.846,13.000.000.000,141892183846.0,13000000000.0
Công ty Cổ phần Đầu tư Địa Ốc No Va,Công ty Cổ phần Đầu tư Địa Ốc No Va,Công ty Cổ phần Đầu tư Địa Ốc No Va,1.103.732.192,95.804.984.915,1103732192.0,95804984915.0
Công ty TNHH Địa Ốc No Va Mỹ Đình,Công ty TNHH Địa Ốc No Va Mỹ Đình,Công ty TNHH Địa Ốc No Va Mỹ Đình,-,177.140.000.000,,177140000000.0
Công ty Cổ phần Địa Ốc Thành Nhơn,Công ty Cổ phần Địa Ốc Thành Nhơn,Công ty Cổ phần Địa Ốc Thành Nhơn,-,115.500.000.000,,115500000000.0
Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thuận Phát,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thuận Phát,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thuận Phát,-,111.100.000.000,,111100000000.0
Công ty TNHH Du Lịch Bình An,Công ty TNHH Du Lịch Bình An,Công ty TNHH Du Lịch Bình An,-,40.200.000.000,,40200000000.0
3. Hoạt động khác,3. Hoạt động khác,3. Hoạt động khác,3.055.940.399.361,680.132.489.473,3055940399361.0,680132489473.0
Thanh lý hợp đồng bởi hoàn,Thanh lý hợp đồng bởi hoàn,Thanh lý hợp đồng bởi hoàn,,,,
Bà Cao Thị Ngọc Sương và ông Bùi Thành Nhơn,Thanh lý hợp đồng bởi hoàn > Bà Cao Thị Ngọc Sương và ông Bùi Thành Nhơn,Bà Cao Thị Ngọc Sương và ông Bùi Thành Nhơn,435.671.167.586,-,435671167586.0,
Bán giải chấp cổ phiếu trả nợ thay,Bán giải chấp cổ phiếu trả nợ thay,Bán giải chấp cổ phiếu trả nợ thay,,,,
Công ty Cổ phần Novagroup,Bán giải chấp cổ phiếu trả nợ thay > Công ty Cổ phần Novagroup,Công ty Cổ phần Novagroup,43.195.030.897,487.835.660.685,43195030897.0,487835660685.0
Công ty Cổ phần Diamond Properties,Bán giải chấp cổ phiếu trả nợ thay > Công ty Cổ phần Diamond Properties,Công ty Cổ phần Diamond Properties,-,192.296.828.788,,192296828788.0
Phát hành cổ phần đề hoán đối nợ,Phát hành cổ phần đề hoán đối nợ,Phát hành cổ phần đề hoán đối nợ,,,,
Công ty Cổ phần Novagroup,Phát hành cổ phần đề hoán đối nợ > Công ty Cổ phần Novagroup,Công ty Cổ phần Novagroup,2.465.301.918.717,-,2465301918717.0,
Công ty Cổ phần Diamond Properties,Phát hành cổ phần đề hoán đối nợ > Công ty Cổ phần Diamond Properties,Công ty Cổ phần Diamond Properties,111.772.282.161,-,111772282161.0,
