row_label_raw,row_label_full,Trái phiếu có đại lý phát hành/tổ chức tư vấn là,31/12/2025,01/01/2025,numeric__31/12/2025,numeric__01/01/2025
1. Trái phiếu ngắn hạn,1. Trái phiếu ngắn hạn,1. Trái phiếu ngắn hạn,9.229.019.726.887,15.662.869.221.471,9229019726887.0,15662869221471.0
Công ty Cổ phần Chứng khoán Dầu khí (3),Công ty Cổ phần Chứng khoán Dầu khí (3),Công ty Cổ phần Chứng khoán Dầu khí (3),2.805.951.886.354,2.199.259.959.577,2805951886354.0,2199259959577.0
Công ty Cổ phần chứng khoán SSI (2),Công ty Cổ phần chứng khoán SSI (2),Công ty Cổ phần chứng khoán SSI (2),3.428.000.000.000,3.428.000.000.000,3428000000000.0,3428000000000.0
Công ty Cổ phần Chứng khoán BIDV (4),Công ty Cổ phần Chứng khoán BIDV (4),Công ty Cổ phần Chứng khoán BIDV (4),1.946.593.558.827,2.221.389.546.790,1946593558827.0,2221389546790.0
Công ty Cổ phần Chứng khoán MB (6),Công ty Cổ phần Chứng khoán MB (6),Công ty Cổ phần Chứng khoán MB (6),864.003.400.000,864.003.400.000,864003400000.0,864003400000.0
Công ty TNHH Chứng khoán Mirae Asset Việt Nam (7),Công ty TNHH Chứng khoán Mirae Asset Việt Nam (7),Công ty TNHH Chứng khoán Mirae Asset Việt Nam (7),112.804.181.706,115.320.415.104,112804181706.0,115320415104.0
Công ty TNHH Chứng khoán Yuanta Việt Nam (8),Công ty TNHH Chứng khoán Yuanta Việt Nam (8),Công ty TNHH Chứng khoán Yuanta Việt Nam (8),71.666.700.000,84.895.900.000,71666700000.0,84895900000.0
Công ty Cổ phần Chứng khoán Kỹ Thương (5),Công ty Cổ phần Chứng khoán Kỹ Thương (5),Công ty Cổ phần Chứng khoán Kỹ Thương (5),-,1.300.000.000.000,,1300000000000.0
Công ty Cổ phần Chứng khoán VPS (1),Công ty Cổ phần Chứng khoán VPS (1),Công ty Cổ phần Chứng khoán VPS (1),-,5.450.000.000.000,,5450000000000.0
2. Trái phiếu dài hạn,2. Trái phiếu dài hạn,2. Trái phiếu dài hạn,9.580.291.021.440,9.490.872.840.875,9580291021440.0,9490872840875.0
"UBS AG, Singapore Branch (Trước dây là Credit Suisse AG, Singapore Branch)(9)","UBS AG, Singapore Branch (Trước dây là Credit Suisse AG, Singapore Branch)(9)","UBS AG, Singapore Branch (Trước dây là Credit Suisse AG, Singapore Branch)(9)",8.055.291.021.440,8.200.217.339.280,8055291021440.0,8200217339280.0
Công ty Cổ phần Chứng khoán Kỹ Thương (5),Công ty Cổ phần Chứng khoán Kỹ Thương (5),Công ty Cổ phần Chứng khoán Kỹ Thương (5),1.300.000.000.000,-,1300000000000.0,
Công ty Cổ phần Chứng khoán BIDV (4),Công ty Cổ phần Chứng khoán BIDV (4),Công ty Cổ phần Chứng khoán BIDV (4),225.000.000.000,-,225000000000.0,
Công ty Cổ phần Chứng khoán Dầu khí (3),Công ty Cổ phần Chứng khoán Dầu khí (3),Công ty Cổ phần Chứng khoán Dầu khí (3),-,1.290.655.501.595,,1290655501595.0
Cộng,Cộng,Cộng,18.809.310.748.327,25.153.742.062.346,18809310748327.0,25153742062346.0
