row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2025,01/01/2025,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025,numeric__01/01/2025
A. TÀI SẢN NGẮN HẠN(100 = 110 + 130 + 140 + 150),A. TÀI SẢN NGẮN HẠN(100 = 110 + 130 + 140 + 150),A. TÀI SẢN NGẮN HẠN(100 = 110 + 130 + 140 + 150),100,,9.229.142.061.403,11.884.231.975.068,100.0,,9229142061403.0,11884231975068.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,V.1,1.261.589.436.055,958.973.102.914,110.0,,1261589436055.0,958973102914.0
I. Tiền,I. Tiền,I. Tiền,111,,1.122.589.436.055,958.920.621.387,111.0,,1122589436055.0,958920621387.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,139.000.000.000,52.481.527,112.0,,139000000000.0,52481527.0
II. Các khoản phải thu ngắn hạn,II. Các khoản phải thu ngắn hạn,II. Các khoản phải thu ngắn hạn,130,,5.664.811.875.932,8.527.998.284.283,130.0,,5664811875932.0,8527998284283.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,V.3a,210.771.048.832,139.812.261.723,131.0,,210771048832.0,139812261723.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,V.4,330.296.912.316,327.680.702.916,132.0,,330296912316.0,327680702916.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,V.6a,5.144.763.419.547,8.081.285.239.407,136.0,,5144763419547.0,8081285239407.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,V.5a,(21.019.504.763),(20.779.919.763),137.0,,-21019504763.0,-20779919763.0
III. Hàng tồn kho,III. Hàng tồn kho,III. Hàng tồn kho,140,V.7,2.249.982.351.389,2.336.128.553.003,140.0,,2249982351389.0,2336128553003.0
I. Hàng tồn kho,I. Hàng tồn kho,I. Hàng tồn kho,141,,2.249.982.351.389,2.336.128.553.003,141.0,,2249982351389.0,2336128553003.0
IV. Tài sản ngắn hạn khác,IV. Tài sản ngắn hạn khác,IV. Tài sản ngắn hạn khác,150,,52.758.398.027,61.132.034.868,150.0,,52758398027.0,61132034868.0
I. Chi phí trả trước ngắn hạn,I. Chi phí trả trước ngắn hạn,I. Chi phí trả trước ngắn hạn,151,V.8a,23.854.784.063,26.546.566.154,151.0,,23854784063.0,26546566154.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,V.16b,25.238.364.627,30.920.219.377,152.0,,25238364627.0,30920219377.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,V.16b,3.665.249.337,3.665.249.337,153.0,,3665249337.0,3665249337.0
