row_label_raw,row_label_full,Dài hạn,31/12/2025,01/01/2025,numeric__31/12/2025,numeric__01/01/2025
Dự phòng bảo hành sản phẩm bắt động sản đã hoàn thành và bàn giao,Dự phòng bảo hành sản phẩm bắt động sản đã hoàn thành và bàn giao,Dự phòng bảo hành sản phẩm bắt động sản đã hoàn thành và bàn giao,-,2.412.376.550,,2412376550.0
Cộng,Cộng,Cộng,-,2.412.376.550,,2412376550.0
Dự phòng nợ phải trả - chi tiết phát sinh như sau:,Dự phòng nợ phải trả - chi tiết phát sinh như sau:,Dự phòng nợ phải trả - chi tiết phát sinh như sau:,,Dài hạn,,
Số đầu năm,Dự phòng nợ phải trả - chi tiết phát sinh như sau: > Số đầu năm,Số đầu năm,,2.412.376.550,,2412376550.0
Số đã sử dụng,Dự phòng nợ phải trả - chi tiết phát sinh như sau: > Số đã sử dụng,Số đã sử dụng,,(264.610.000),,-264610000.0
Số hoàn nhập,Dự phòng nợ phải trả - chi tiết phát sinh như sau: > Số hoàn nhập,Số hoàn nhập,,(2.147.766.550),,-2147766550.0
Số cuối năm,Số cuối năm,Số cuối năm,,-,,
