row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,Chương trình phần mềm,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Chương trình phần mềm,numeric__Tổng cộng
1. Nguyên giá,1. Nguyên giá,1. Nguyên giá,1. Nguyên giá,1. Nguyên giá,1. Nguyên giá,,,
Số dư đầu năm,1. Nguyên giá > Số dư đầu năm,Số dư đầu năm,57.754.517.947,112.132.828.175,169.887.346.122,57754517947.0,112132828175.0,169887346122.0
Mua trong năm,1. Nguyên giá > Mua trong năm,Mua trong năm,-,725.235.707,725.235.707,,725235707.0,725235707.0
Số dư cuối năm,1. Nguyên giá > Số dư cuối năm,Số dư cuối năm,57.754.517.947,112.858.063.882,170.612.581.829,57754517947.0,112858063882.0,170612581829.0
2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,,,
Số dư đầu năm,2. Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,107.916.065.208,107.916.065.208,,107916065208.0,107916065208.0
Khẩu hao trong năm,2. Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,-,1.658.237.029,1.658.237.029,,1658237029.0,1658237029.0
Số dư cuối năm,2. Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,109.574.302.237,109.574.302.237,,109574302237.0,109574302237.0
3. Giá trị còn lại (1-2),3. Giá trị còn lại (1-2),3. Giá trị còn lại (1-2),3. Giá trị còn lại (1-2),3. Giá trị còn lại (1-2),3. Giá trị còn lại (1-2),,,
Số dư đầu năm,3. Giá trị còn lại (1-2) > Số dư đầu năm,Số dư đầu năm,57.754.517.947,4.216.762.967,61.971.280.914,57754517947.0,4216762967.0,61971280914.0
Số dư cuối năm,3. Giá trị còn lại (1-2) > Số dư cuối năm,Số dư cuối năm,57.754.517.947,3.283.761.645,61.038.279.592,57754517947.0,3283761645.0,61038279592.0
