row_label_raw,row_label_full,b. Dài hạn,31/12/2025,01/01/2025,numeric__31/12/2025,numeric__01/01/2025
Hợp tác đầu tư phát triển dự án (3),Hợp tác đầu tư phát triển dự án (3),Hợp tác đầu tư phát triển dự án (3),12.443.280.000.000,18.647.409.000.000,12443280000000.0,18647409000000.0
Công ty Cổ phần Novareal,Công ty Cổ phần Novareal,Công ty Cổ phần Novareal,9.510.280.000.000,15.714.409.000.000,9510280000000.0,15714409000000.0
Bên thứ ba khác,Bên thứ ba khác,Bên thứ ba khác,178.000.000.000,-,178000000000.0,
Bên liên quan (c),Bên liên quan (c),Bên liên quan (c),2.755.000.000.000,2.933.000.000.000,2755000000000.0,2933000000000.0
Phải trả khác,Phải trả khác,Phải trả khác,2.381.845.521,-,2381845521.0,
Cộng,Cộng,Cộng,12.445.661.845.521,18.647.409.000.000,12445661845521.0,18647409000000.0
