row_label_raw,row_label_full,Bên liên quan > Phải trả ngắn hạn khác (Thuyết minh số 22),Nội dung nghiệp vụ,Số cuối năm VND > 5.000.000.000,Số đầu năm VND > 207.589.138.000,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm VND > 5.000.000.000,numeric__Số đầu năm VND > 207.589.138.000
Công ty Cổ phần Sunshine Marina Nha Trang,Công ty Cổ phần Sunshine Marina Nha Trang,Công ty Cổ phần Sunshine Marina Nha Trang,Phải trả từ hợp đồng bù trừ công nợ ba bên,5.000.000.000,-,,5000000000.0,
Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Phải trả tiền hợp đồng hợp tác đầu tư,-,207.589.138.000,,,207589138000.0
Vay ngắn hạn (Thuyết minh số 23),Vay ngắn hạn (Thuyết minh số 23),Vay ngắn hạn (Thuyết minh số 23),,-,1.920.000.000.000,,,1920000000000.0
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Vay ngắn hạn,-,1.900.000.000.000,,,1900000000000.0
Công ty Cổ phần Sunshine Homes,Công ty Cổ phần Sunshine Homes,Công ty Cổ phần Sunshine Homes,Vay ngắn hạn,-,20.000.000.000,,,20000000000.0
Vay dài hạn (Thuyết minh số 23),Vay dài hạn (Thuyết minh số 23),Vay dài hạn (Thuyết minh số 23),,2.131.162.600.000,15.000.000.000,,2131162600000.0,15000000000.0
Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Mệnh giá trái phiếu,2.131.162.600.000,-,,2131162600000.0,
Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Vay dài hạn,-,15.000.000.000,,,15000000000.0
Chi phí phải trả ngắn hạn (Thuyết minh số 20),Chi phí phải trả ngắn hạn (Thuyết minh số 20),Chi phí phải trả ngắn hạn (Thuyết minh số 20),,171.687.064.880,44.180.273.972,,171687064880.0,44180273972.0
Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Chi phí lãi trái phiếu phải trả,171.687.064.880,-,,171687064880.0,
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Chi phí lãi vay phải trả,-,44.180.273.972,,,44180273972.0
