row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,7.161.840.519.755,7.477.623.899.459,,300.0,,7161840519755.0,7477623899459.0
I.,I.,I.,Nợ ngắn hạn,310,,3.712.568.053.284,7.360.880.077.397,,310.0,,3712568053284.0,7360880077397.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,17,482.650.164.441,437.321.040.322,,311.0,17.0,482650164441.0,437321040322.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,18,1.379.303.398.298,1.103.765.590.857,,312.0,18.0,1379303398298.0,1103765590857.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,19,161.162.757.649,292.869.405.705,,313.0,19.0,161162757649.0,292869405705.0
4.,4.,4.,Phải trả người lao động,314,,9.238.470.642,8.952.347.383,,314.0,,9238470642.0,8952347383.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,20,687.116.520.133,739.312.655.190,,315.0,20.0,687116520133.0,739312655190.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,21,15.842.904.834,16.290.074.500,,318.0,21.0,15842904834.0,16290074500.0
7.,7.,7.,Phải trả ngắn hạn khác,319,22,413.467.043.545,514.898.397.387,,319.0,22.0,413467043545.0,514898397387.0
8.,8.,8.,Vay ngắn hạn,320,23,563.786.793.742,4.245.656.252.722,,320.0,23.0,563786793742.0,4245656252722.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,,-,1.814.313.331,,321.0,,,1814313331.0
II.,II.,II.,Nợ dài hạn,330,,3.449.272.466.471,116.743.822.062,,330.0,,3449272466471.0,116743822062.0
1.,1.,1.,Chi phí phải trả dài hạn,333,20,12.491.035.036,18.101.975.437,,333.0,20.0,12491035036.0,18101975437.0
2.,2.,2.,Doanh thu chưa thực hiện dài hạn,336,21,8.692.427.985,17.829.143.625,,336.0,21.0,8692427985.0,17829143625.0
3.,3.,3.,Vay dài hạn,338,23,3.425.648.671.580,80.812.703.000,,338.0,23.0,3425648671580.0,80812703000.0
4.,4.,4.,Dự phòng phải trả dài hạn,342,,2.440.331.870,-,,342.0,,2440331870.0,
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,2.591.340.179.498,2.535.601.910.837,,400.0,,2591340179498.0,2535601910837.0
I.,I.,I.,Vốn chủ sở hữu,410,24,2.591.340.179.498,2.535.601.910.837,,410.0,24.0,2591340179498.0,2535601910837.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,2.500.000.000.000,2.500.000.000.000,,411.0,,2500000000000.0,2500000000000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,2.500.000.000.000,2.500.000.000.000,,,,2500000000000.0,2500000000000.0
2.,2.,2.,Quỹ khác thuộc vốn chủ sở hữu,420,,(791.955.590.152),(791.955.590.152),,420.0,,-791955590152.0,-791955590152.0
3.,3.,3.,Lợi nhuận sau thuế chưa phân phối,421,,863.794.699.897,624.305.528.529,,421.0,,863794699897.0,624305528529.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,624.305.528.529,431.377.864.445,,,,624305528529.0,431377864445.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,239.489.171.368,192.927.664.084,,,,239489171368.0,192927664084.0
4.,4.,4.,Lợi ích của cổ đông không kiểm soát,429,,19.501.069.753,203.251.972.460,,429.0,,19501069753.0,203251972460.0
,,,TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,9.753.180.699.253,10.013.225.810.296,,440.0,,9753180699253.0,10013225810296.0
