row_label_raw,row_label_full,col_0,Số đầu năm > VNDGiá trị/Số có khả năng trả nợ,Trong năm > VNDTăng,Trong năm > VNDGiám,Số cuối năm > VNDGiá trị/Số có khả năng trả nợ,numeric__Số đầu năm > VNDGiá trị/Số có khả năng trả nợ,numeric__Trong năm > VNDTăng,numeric__Trong năm > VNDGiám,numeric__Số cuối năm > VNDGiá trị/Số có khả năng trả nợ
Vay dài hạn,Vay dài hạn,Vay dài hạn,3.185.312.703.000,131.000.000.000,3.145.767.918.000,170.544.785.000,3185312703000.0,131000000000.0,3145767918000.0,170544785000.0
Công ty TNHH Kinh doanh Bất động sản Trường Minh (i),Công ty TNHH Kinh doanh Bất động sản Trường Minh (i),Công ty TNHH Kinh doanh Bất động sản Trường Minh (i),-,131.000.000.000,-,131.000.000.000,,131000000000.0,,131000000000.0
Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng (ii),Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng (ii),Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng (ii),57.245.203.000,-,21.450.418.000,35.794.785.000,57245203000.0,,21450418000.0,35794785000.0
Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Thủ Thiêm (iii),Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Thủ Thiêm (iii),Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Thủ Thiêm (iii),8.250.000.000,-,4.500.000.000,3.750.000.000,8250000000.0,,4500000000.0,3750000000.0
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,1.900.000.000.000,-,1.900.000.000.000,-,1900000000000.0,,1900000000000.0,
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh - Chi nhánh Hà Nội,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh - Chi nhánh Hà Nội,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh - Chi nhánh Hà Nội,1.200.000.000.000,-,1.200.000.000.000,-,1200000000000.0,,1200000000000.0,
Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Công ty Cổ phần Tập đoàn Sunshine International Property Technology,15.000.000.000,-,15.000.000.000,-,15000000000.0,,15000000000.0,
Bà Vũ Thị Huệ,Bà Vũ Thị Huệ,Bà Vũ Thị Huệ,4.817.500.000,-,4.817.500.000,-,4817500000.0,,4817500000.0,
Trái phiếu phát hành (iv),Trái phiếu phát hành (iv),Trái phiếu phát hành (iv),-,3.294.648.671.580,-,3.294.648.671.580,,3294648671580.0,,3294648671580.0
,,,3.185.312.703.000,3.425.648.671.580,3.145.767.918.000,3.465.193.456.580,3185312703000.0,3425648671580.0,3145767918000.0,3465193456580.0
Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 tháng,Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 tháng,Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 tháng,3.104.500.000.00080.812.703.000,,,39.544.785.0003.425.648.671.580,3.104500000000808e+23,,,3.9544785000342565e+23
