row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
,,,,VND,VND,,,
Nhận gốc vay (Thuyết minh số 23),Nhận gốc vay (Thuyết minh số 23),Nhận gốc vay (Thuyết minh số 23),,3.302.311.000.000,35.000.000.000,,3302311000000.0,35000000000.0
Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Mệnh giá trái phiếu,3.300.000.000.000,-,,3300000000000.0,
Công ty TNHH Đầu tư và Kinh doanh BĐS Đại Phát Lộc,Công ty TNHH Đầu tư và Kinh doanh BĐS Đại Phát Lộc,Công ty TNHH Đầu tư và Kinh doanh BĐS Đại Phát Lộc,Nhận tiền vay,2.311.000.000,-,,2311000000.0,
Công ty Cổ phần Sunshine Homes,Công ty Cổ phần Sunshine Homes,Công ty Cổ phần Sunshine Homes,Nhận tiền vay,-,20.000.000.000,,,20000000000.0
Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Nhận tiền vay,-,15.000.000.000,,,15000000000.0
Trả gốc vay (Thuyết minh số 23),Trả gốc vay (Thuyết minh số 23),Trả gốc vay (Thuyết minh số 23),,1.937.311.000.000,-,,1937311000000.0,
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Trả gốc vay,1.900.000.000.000,-,,1900000000000.0,
Công ty Cổ phần Sunshine Homes,Công ty Cổ phần Sunshine Homes,Công ty Cổ phần Sunshine Homes,Trả gốc vay,20.000.000.000,-,,20000000000.0,
Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Trả gốc vay,15.000.000.000,-,,15000000000.0,
Công ty TNHH Đầu tư và Kinh doanh BĐS Đại Phát Lộc,Công ty TNHH Đầu tư và Kinh doanh BĐS Đại Phát Lộc,Công ty TNHH Đầu tư và Kinh doanh BĐS Đại Phát Lộc,Trả gốc vay,2.311.000.000,-,,2311000000.0,
Chi phí tài chính (Thuyết minh số 30),Chi phí tài chính (Thuyết minh số 30),Chi phí tài chính (Thuyết minh số 30),,479.813.676.934,40.371.232.876,,479813676934.0,40371232876.0
Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Chi phí lãi trái phiếu và chi phí liên quan trái phiếu đã phát hành,224.499.119.675,-,,224499119675.0,
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Chi phí lãi vay,186.424.315.067,40.342.465.753,,186424315067.0,40342465753.0
Công ty Cổ phần Chứng khoán KS,Công ty Cổ phần Chứng khoán KS,Công ty Cổ phần Chứng khoán KS,Chi phí liên quan trái phiếu đã phát hành,58.880.960.000,-,,58880960000.0,
Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Chi phí tạm tính từ Hợp đồng hợp tác đầu tư,9.277.775.342,-,,9277775342.0,
Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Công ty Cổ phần Tập đoàn Sunshine International Property Technology,Chi phí lãi vay,731.506.850,28.767.123,,731506850.0,28767123.0
Đặt cọc mua cổ phần,Đặt cọc mua cổ phần,Đặt cọc mua cổ phần,,-,450.000.000.000,,,450000000000.0
Công ty Cổ phần Sunshine Homes,Công ty Cổ phần Sunshine Homes,Công ty Cổ phần Sunshine Homes,Đặt cọc mua cổ phần,-,450.000.000.000,,,450000000000.0
Nhận chuyển nhượng cổ phần,Nhận chuyển nhượng cổ phần,Nhận chuyển nhượng cổ phần,,267.000.000.000,2.178.000.000.000,,267000000000.0,2178000000000.0
Công ty Cổ phần Sunshine Homes,Công ty Cổ phần Sunshine Homes,Công ty Cổ phần Sunshine Homes,Nhận chuyển nhượng cổ phần,267.000.000.000,2.178.000.000.000,,267000000000.0,2178000000000.0
