row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
,,,,VND,VND,,,
Phí dịch vụ chi hộ,Phí dịch vụ chi hộ,Phí dịch vụ chi hộ,,7.223.897.611,4.709.508.070,,7223897611.0,4709508070.0
Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Phí dịch vụ chi hộ,3.165.726.434,427.261.420,,3165726434.0,427261420.0
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Phí dịch vụ chi hộ,347.958.708,611.858.212,,347958708.0,611858212.0
Công ty TNHH Kinh doanh Thương mại và Dịch vụSunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụSunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụSunshine Mart,Phí dịch vụ chi hộ,617.927.758,-,,617927758.0,
Công ty Cổ phần Xây dựng SCG,Công ty Cổ phần Xây dựng SCG,Công ty Cổ phần Xây dựng SCG,Phí dịch vụ chi hộ,385.663.725,679.081.596,,385663725.0,679081596.0
Công ty Cổ phần Sunshine AM,Công ty Cổ phần Sunshine AM,Công ty Cổ phần Sunshine AM,Phí dịch vụ chi hộ,378.596.653,-,,378596653.0,
Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Phí dịch vụ chi hộ,372.452.929,679.842.464,,372452929.0,679842464.0
Công ty Cổ phần Sunshine Homes,Công ty Cổ phần Sunshine Homes,Công ty Cổ phần Sunshine Homes,Phí dịch vụ chi hộ,367.902.141,747.826.717,,367902141.0,747826717.0
Công ty Cổ phần Tập đoàn KSFinance,Công ty Cổ phần Tập đoàn KSFinance,Công ty Cổ phần Tập đoàn KSFinance,Phí dịch vụ chi hộ,357.694.221,679.842.464,,357694221.0,679842464.0
Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Phí dịch vụ chi hộ,357.854.973,679.842.464,,357854973.0,679842464.0
Công ty Cổ phần Sunshine Landscape,Công ty Cổ phần Sunshine Landscape,Công ty Cổ phần Sunshine Landscape,Phí dịch vụ chi hộ,177.836.265,-,,177836265.0,
