row_label_raw,row_label_full,col_0,Số đầu năm > VNDGiá trị/Số có khả năng trả nợ,Trong năm > VNDTăng,Trong năm > VNDGiảm,Số cuối năm > VNDGiá trị/Số có khả năng trả nợ,numeric__Số đầu năm > VNDGiá trị/Số có khả năng trả nợ,numeric__Trong năm > VNDTăng,numeric__Trong năm > VNDGiảm,numeric__Số cuối năm > VNDGiá trị/Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,626.069.951.352,432.798.832.000,534.626.774.610,524.242.008.742,626069951352.0,432798832000.0,534626774610.0,524242008742.0
Công ty TNHH Kinh doanh Bắt động sản Trường Minh (i),Công ty TNHH Kinh doanh Bắt động sản Trường Minh (i),Công ty TNHH Kinh doanh Bắt động sản Trường Minh (i),-,306.500.000.000,-,306.500.000.000,,306500000000.0,,306500000000.0
Ngân hàng TMCP Việt Nam Thịnh Vượng - Hội sở chính (ii),Ngân hàng TMCP Việt Nam Thịnh Vượng - Hội sở chính (ii),Ngân hàng TMCP Việt Nam Thịnh Vượng - Hội sở chính (ii),396.069.951.352,8.367.832.000,186.695.774.610,217.742.008.742,396069951352.0,8367832000.0,186695774610.0,217742008742.0
Bà Nguyễn Thị Tổ Hoài,Bà Nguyễn Thị Tổ Hoài,Bà Nguyễn Thị Tổ Hoài,200.000.000.000,-,200.000.000.000,-,200000000000.0,,200000000000.0,
Công ty Cổ phần Sunshine Homes,Công ty Cổ phần Sunshine Homes,Công ty Cổ phần Sunshine Homes,20.000.000.000,-,20.000.000.000,-,20000000000.0,,20000000000.0,
Bà Vũ Thị Huệ,Bà Vũ Thị Huệ,Bà Vũ Thị Huệ,10.000.000.000,-,10.000.000.000,-,10000000000.0,,10000000000.0,
Ông Phạm Văn Hữu,Ông Phạm Văn Hữu,Ông Phạm Văn Hữu,-,115.620.000.000,115.620.000.000,-,,115620000000.0,115620000000.0,
Công ty TNHH Đầu tư và Kinh doanh Bắt động sản Đại Phát Lộc,Công ty TNHH Đầu tư và Kinh doanh Bắt động sản Đại Phát Lộc,Công ty TNHH Đầu tư và Kinh doanh Bắt động sản Đại Phát Lộc,-,2.311.000.000,2.311.000.000,-,,2311000000.0,2311000000.0,
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,3.104.500.000.000,60.995.203.000,3.125.950.418.000,39.544.785.000,3104500000000.0,60995203000.0,3125950418000.0,39544785000.0
Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,-,57.245.203.000,21.450.418.000,35.794.785.000,,57245203000.0,21450418000.0,35794785000.0
Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,4.500.000.000,3.750.000.000,4.500.000.000,3.750.000.000,4500000000.0,3750000000.0,4500000000.0,3750000000.0
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,1.900.000.000.000,-,1.900.000.000.000,-,1900000000000.0,,1900000000000.0,
Ngân hàng TMCP Phát triển Nhà Thành phố Hồ Chí Minh - Chi nhánh Hà Nội,Ngân hàng TMCP Phát triển Nhà Thành phố Hồ Chí Minh - Chi nhánh Hà Nội,Ngân hàng TMCP Phát triển Nhà Thành phố Hồ Chí Minh - Chi nhánh Hà Nội,1.200.000.000.000,-,1.200.000.000.000,-,1200000000000.0,,1200000000000.0,
Trái phiếu ngắn hạn,Trái phiếu ngắn hạn,Trái phiếu ngắn hạn,515.086.301.370,34.913.698.630,550.000.000.000,-,515086301370.0,34913698630.0,550000000000.0,
,,,4.245.656.252.722,528.707.733.630,4.210.577.192.610,563.786.793.742,4245656252722.0,528707733630.0,4210577192610.0,563786793742.0
