row_label_raw,row_label_full,col_0,CHÌ TIÊU,Mã số,Năm nay,Năm trước,numeric__CHÌ TIÊU,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
I.,I.,I.,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,405.913.213.718,289.695.020.245,,1.0,405913213718.0,289695020245.0
2.,2.,2.,Điều chỉnh cho các khoản:,,,,,,,
2.,2. > 2.,2.,Khấu hao tài sản cố định và bất động sản đầu tư,02,52.845.760.983,9.979.814.883,,2.0,52845760983.0,9979814883.0
2.,2. > 2.,2.,Các khoản dự phòng,03,(656.820.147),1.560.308.498,,3.0,-656820147.0,1560308498.0
2.,2. > 2.,2.,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,-,615.261,,4.0,,615261.0
2.,2. > 2.,2.,Lãi từ hoạt động đầu tư,05,(924.878.961.486),(194.195.441.716),,5.0,-924878961486.0,-194195441716.0
2.,2. > 2.,2.,Chi phí lãi vay và chi phí phát hành trái phiếu,06,650.774.577.355,193.670.170.387,,6.0,650774577355.0,193670170387.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,183.997.770.423,300.710.487.558,,8.0,183997770423.0,300710487558.0
3.,2. > 3.,3.,Thay đổi các khoản phải thu,09,771.609.390.302,1.840.466.684.259,,9.0,771609390302.0,1840466684259.0
3.,2. > 3.,3.,Thay đổi hàng tồn kho,10,580.600.049.788,666.879.939.541,,10.0,580600049788.0,666879939541.0
3.,2. > 3.,3.,"Thay đổi các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,2.493.433.562,(1.115.149.712.752),,11.0,2493433562.0,-1115149712752.0
3.,2. > 3.,3.,Thay đổi chi phí trả trước,12,59.477.548.017,(78.375.040.297),,12.0,59477548017.0,-78375040297.0
3.,2. > 3.,3.,Tiền lãi vay đã trả,14,(466.586.508.103),(10.774.218.121),,14.0,-466586508103.0,-10774218121.0
3.,2. > 3.,3.,Thuế thu nhập doanh nghiệp đã nộp,15,(231.216.673.584),(42.487.632.786),,15.0,-231216673584.0,-42487632786.0
3.,2. > 3.,3.,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,900.375.010.405,1.561.270.507.402,,20.0,900375010405.0,1561270507402.0
II.,II.,II.,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
1.,II. > 1.,1.,"Tiền chi mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,(32.098.655.382),(91.391.749.772),,21.0,-32098655382.0,-91391749772.0
2.,II. > 2.,2.,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,(3.445.500.000.000),(139.650.000.000),,23.0,-3445500000000.0,-139650000000.0
3.,II. > 3.,3.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,2.321.077.500.000,-,,24.0,2321077500000.0,
4.,II. > 4.,4.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,(267.000.000.000),(2.187.450.000.000),,25.0,-267000000000.0,-2187450000000.0
5.,II. > 5.,5.,Tăng do hợp nhất kinh doanh,,-,48.255.742.314,,,,48255742314.0
6.,II. > 6.,6.,Tiền thu hồi đầu tư vốn vào đơn vị khác,26,437.918.890.657,73.637.209.343,,26.0,437918890657.0,73637209343.0
7.,II. > 7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,554.619.708.601,556.940.477,,27.0,554619708601.0,556940477.0
7.,II. > 7.,7.,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(430.982.556.124),(2.296.041.857.638),,30.0,-430982556124.0,-2296041857638.0
