row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Lãi suất,Số cuối năm > VNDKỳ hạn,Số đầu năm > Giá trị,Số đầu năm > Lãi suất,Số đầu năm > VNDKỳ hạn,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Lãi suất,numeric__Số cuối năm > VNDKỳ hạn,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Lãi suất,numeric__Số đầu năm > VNDKỳ hạn
Gói 1,Gói 1,Gói 1,Gói 1,Gói 1,Gói 1,Gói 1,Gói 1,Gói 1,,,,,,
Trái phiếu phát hành theo mênh giá,Gói 1 > Trái phiếu phát hành theo mênh giá,Trái phiếu phát hành theo mênh giá,1.000.000.000.000,11%,3 năm,-,,,1000000000000.0,0.11,,,,
Chi phí phát hành trái phiếu,Gói 1 > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(1.487.226.277),,,,,,-1487226277.0,,,,,
,,,998.512.773.723,,,-,,,998512773723.0,,,,,
Gói 2,Gói 2,Gói 2,Gói 2,Gói 2,Gói 2,Gói 2,Gói 2,Gói 2,,,,,,
Trái phiếu phát hành theo mênh giá,Gói 2 > Trái phiếu phát hành theo mênh giá,Trái phiếu phát hành theo mênh giá,1.100.000.000.000,11%,4 năm,-,,,1100000000000.0,0.11,,,,
Chi phí phát hành trái phiếu,Gói 2 > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(1.797.946.612),,,,,,-1797946612.0,,,,,
,,,1.098.202.053.388,,,-,,,1098202053388.0,,,,,
Gói 3,Gói 3,Gói 3,Gói 3,Gói 3,Gói 3,Gói 3,Gói 3,Gói 3,,,,,,
Trái phiếu phát hành theo mênh giá,Gói 3 > Trái phiếu phát hành theo mênh giá,Trái phiếu phát hành theo mênh giá,1.200.000.000.000,11%,5 năm,-,,,1200000000000.0,0.11,,,,
Chi phí phát hành trái phiếu,Gói 3 > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(2.066.155.531),,,,,,-2066155531.0,,,,,
,,,1.197.933.844.469,,,-,,,1197933844469.0,,,,,
Tổng cộng,Gói 3 > Tổng cộng,Tổng cộng,3.294.648.671.580,,,-,,,3294648671580.0,,,,,
