row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
,,,,VND,VND,,,
Phải thu ngắn hạn khác (Thuyết minh số 09),Phải thu ngắn hạn khác (Thuyết minh số 09),Phải thu ngắn hạn khác (Thuyết minh số 09),,474.233.911.033,629.512.999.928,,474233911033.0,629512999928.0
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,"Phải thu từ đặt cọc chuyển nhượng cổ phần, lãi dự thu từ đầu tư trái phiếu và chi hộ",450.000.000.000,480.739.726.027,,450000000000.0,480739726027.0
Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Lãi dự thu từ cho vay,24.030.479.453,28.180.479.453,,24030479453.0,28180479453.0
Công ty Cổ phần Sunshine AM,Công ty Cổ phần Sunshine AM,Công ty Cổ phần Sunshine AM,Phải thu từ chi hộ,203.431.580,-,,203431580.0,
Công ty Cổ phần Vinaminco Khánh Hòa,Công ty Cổ phần Vinaminco Khánh Hòa,Công ty Cổ phần Vinaminco Khánh Hòa,Lãi dự thu từ cho vay,-,71.100.342.465,,,71100342465.0
Công ty Cổ phần Kinh doanh Bắt động sản Kinh Bắc,Công ty Cổ phần Kinh doanh Bắt động sản Kinh Bắc,Công ty Cổ phần Kinh doanh Bắt động sản Kinh Bắc,Lãi dự thu từ cho vay,-,17.357.369.862,,,17357369862.0
Công ty TNHH Đầu tư Giáo dục Phú Thượng,Công ty TNHH Đầu tư Giáo dục Phú Thượng,Công ty TNHH Đầu tư Giáo dục Phú Thượng,Phải thu từ Hợp đồng bù trừ công nợ ba bên,-,13.078.415.456,,,13078415456.0
Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Phải thu từ Hợp đồng bù trừ công nợ ba bên,-,4.539.531.832,,,4539531832.0
Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Phải thu từ thu hộ và chi hộ,-,4.028.391.079,,,4028391079.0
Công ty Cổ phần Kinh doanh Nhà Sunshine,Công ty Cổ phần Kinh doanh Nhà Sunshine,Công ty Cổ phần Kinh doanh Nhà Sunshine,Phải thu từ chi hộ,-,3.420.202.071,,,3420202071.0
Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Phải thu từ thu hộ,-,100.000.000,,,100000000.0
Công ty Cổ phần Tập đoàn KSFinance,Công ty Cổ phần Tập đoàn KSFinance,Công ty Cổ phần Tập đoàn KSFinance,Phải thu từ chi hộ,-,6.968.541.683,,,6968541683.0
Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),,428.937.967.667,335.881.377.969,,428937967667.0,335881377969.0
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,"Phải trả chi phí thi công, hoàn thiện dự án",346.812.358.992,168.621.426.430,,346812358992.0,168621426430.0
Công ty Cổ phần Sunshine Homes,Công ty Cổ phần Sunshine Homes,Công ty Cổ phần Sunshine Homes,Phải trả chi phí thi công xây dựng và chi phí quản lý dự án,52.151.606.476,107.381.844.161,,52151606476.0,107381844161.0
Công ty Cổ phần Xây dựng SCG,Công ty Cổ phần Xây dựng SCG,Công ty Cổ phần Xây dựng SCG,Phải trả chi phí hoàn thiện dự án,29.869.917.200,-,,29869917200.0,
Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,"Phải trả chi phí dịch vụ suất ăn, chi phí voucher",104.084.999,350.135.000,,104084999.0,350135000.0
Công ty Cổ phần Dịch vụ Thương mại S-Mart,Công ty Cổ phần Dịch vụ Thương mại S-Mart,Công ty Cổ phần Dịch vụ Thương mại S-Mart,"Phải trả chi phí quả tặng khách hàng, văn phòng phẩm, dịch vụ suất ăn và cung cấp lắp đặt thiết bị dự án",Không còn là bên liên quan,1.487.387.249,,,1487387249.0
Công ty TNHH Đầu tư Giáo dục Phú Thương,Công ty TNHH Đầu tư Giáo dục Phú Thương,Công ty TNHH Đầu tư Giáo dục Phú Thương,Phải trả chi phí mua quả tặng khách hàng,-,4.650.000.000,,,4650000000.0
Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Phải trả chi phí vận hành,-,8.438.025.464,,,8438025464.0
Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,"Phải trả chi phí dịch vụ hoa hồng, môi giới, cung cấp lắp đặt thiết bị dự án và mua phần mềm",-,17.053.181.659,,,17053181659.0
Công ty TNHH Giáo dục Sunshine Maple Bear,Công ty TNHH Giáo dục Sunshine Maple Bear,Công ty TNHH Giáo dục Sunshine Maple Bear,Phải trả chi phí mua quả tặng khách hàng,-,4.600.000.000,,,4600000000.0
Công ty Cổ phần Kinh doanh Nhà Sunshine,Công ty Cổ phần Kinh doanh Nhà Sunshine,Công ty Cổ phần Kinh doanh Nhà Sunshine,"Phải trả chi phí dịch vụ hoa hồng, môi giới",-,16.286.478.568,,,16286478568.0
