row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 06),Nội dung nghiệp vụ,Số cuối năm VND > -,Số đầu năm VND > 5.760.143.133,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm VND > -,numeric__Số đầu năm VND > 5.760.143.133
Công ty Cổ phần Sunshine AM,Công ty Cổ phần Sunshine AM,Công ty Cổ phần Sunshine AM,Phải thu từ cho thuê sàn thương mại,-,17.601.174,,,17601174.0
Công ty Cổ phần Xây dựng SCG,Công ty Cổ phần Xây dựng SCG,Công ty Cổ phần Xây dựng SCG,Phải thu từ dịch vụ,-,746.989.756,,,746989756.0
Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,Phải thu từ dịch vụ,-,746.989.756,,,746989756.0
Công ty Cổ phần Sunshine Homes,Công ty Cổ phần Sunshine Homes,Công ty Cổ phần Sunshine Homes,Phải thu từ dịch vụ,-,821.688.739,,,821688739.0
Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Công ty Cổ phần Tập đoàn Công nghệ Unicloud,Phải thu từ dịch vụ,-,746.989.756,,,746989756.0
Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Công ty Cổ phần Tập đoàn Truyền thông và Giải trí ODE,Phải thu từ dịch vụ,-,224.096.920,,,224096920.0
Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Phải thu từ dịch vụ,-,1.036.506.502,,,1036506502.0
Công ty Cổ phần Tập đoàn KSFinance,Công ty Cổ phần Tập đoàn KSFinance,Công ty Cổ phần Tập đoàn KSFinance,Phải thu từ dịch vụ,-,746.989.756,,,746989756.0
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Phải thu từ dịch vụ,-,672.290.774,,,672290774.0
Trả trước cho người bán ngắn hạn (Thuyết minh số 07),Trả trước cho người bán ngắn hạn (Thuyết minh số 07),Trả trước cho người bán ngắn hạn (Thuyết minh số 07),,213.229.466,240.750.000.000,,213229466.0,240750000000.0
Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Trả trước tiền thi công dự án,213.229.466,Chưa là bên liên quan,,213229466.0,
Công ty Cổ phần Đầu tư và Xây dựng Sunrise Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng Sunrise Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng Sunrise Việt Nam,Trả trước cho hợp đồng thi công xây dựng,-,240.750.000.000,,,240750000000.0
Phải thu về cho vay ngắn hạn (Thuyết minh số 08),Phải thu về cho vay ngắn hạn (Thuyết minh số 08),Phải thu về cho vay ngắn hạn (Thuyết minh số 08),,1.695.092.500.000,2.414.650.000.000,,1695092500000.0,2414650000000.0
Công ty Cổ phần Vinaminco Khánh Hòa (ii),Công ty Cổ phần Vinaminco Khánh Hòa (ii),Công ty Cổ phần Vinaminco Khánh Hòa (ii),Phải thu về cho vay ngắn hạn,715.580.000.000,931.000.000.000,,715580000000.0,931000000000.0
Công ty Cổ phần Kinh doanh Bắt động sản Kinh Bắc (i),Công ty Cổ phần Kinh doanh Bắt động sản Kinh Bắc (i),Công ty Cổ phần Kinh doanh Bắt động sản Kinh Bắc (i),Phải thu về cho vay ngắn hạn,591.512.500.000,1.000.000.000.000,,591512500000.0,1000000000000.0
Công ty Cổ phần Sunshine Tây Hồ (ii),Công ty Cổ phần Sunshine Tây Hồ (ii),Công ty Cổ phần Sunshine Tây Hồ (ii),Phải thu về cho vay ngắn hạn,388.000.000.000,369.000.000.000,,388000000000.0,369000000000.0
Công ty Cổ phần Tập đoàn KSFinance,Công ty Cổ phần Tập đoàn KSFinance,Công ty Cổ phần Tập đoàn KSFinance,Phải thu về cho vay ngắn hạn,-,74.650.000.000,,,74650000000.0
Công ty Cổ phần Sunshine Homes,Công ty Cổ phần Sunshine Homes,Công ty Cổ phần Sunshine Homes,Phải thu về cho vay ngắn hạn,-,40.000.000.000,,,40000000000.0
Phải thu về cho vay dài hạn (Thuyết minh số 08),Phải thu về cho vay dài hạn (Thuyết minh số 08),Phải thu về cho vay dài hạn (Thuyết minh số 08),,430.000.000.000,430.000.000.000,,430000000000.0,430000000000.0
Công ty Cổ phần Kinh doanh Bắt động sản Kinh Bắc (i),Công ty Cổ phần Kinh doanh Bắt động sản Kinh Bắc (i),Công ty Cổ phần Kinh doanh Bắt động sản Kinh Bắc (i),Phải thu về cho vay dài hạn,430.000.000.000,430.000.000.000,,430000000000.0,430000000000.0
Trái phiếu nằm giữ đến ngày đáo hạn(Thuyết minh số 05),Trái phiếu nằm giữ đến ngày đáo hạn(Thuyết minh số 05),Trái phiếu nằm giữ đến ngày đáo hạn(Thuyết minh số 05),,-,1.200.000.000.000,,,1200000000000.0
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Trái phiếu nằm giữ đến ngày đáo hạn,-,1.200.000.000.000,,,1200000000000.0
