row_label_raw,row_label_full,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ phầnTỷ lệ quyền biểu,Tỷ lệ phầnTỷ lệ quyền biểu_1,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phầnTỷ lệ quyền biểu,numeric__Tỷ lệ phầnTỷ lệ quyền biểu_1,numeric__Hoạt động chính
Tên công ty con,Tên công ty con,Tên công ty con,Nơi thành lập và hoạt động,sở hữu,quyết nằm giữ,Hoạt động chính,,,,
Công ty con trực tiếpCông ty TNHH Đầu tưNhà Hưng Thịnh Phát,Tên công ty con > Công ty con trực tiếpCông ty TNHH Đầu tưNhà Hưng Thịnh Phát,Công ty con trực tiếpCông ty TNHH Đầu tưNhà Hưng Thịnh Phát,"Tăng 11, tòa nhà Sunshine Center, 16 Phạm Hùng, phường Mỹ Đình 2, quậnNam Từ Liêm, TP Hà Nội, Việt Nam",100%,100%Dầu kinh sản,"tư, xây dựng và doanh bất động",,1.0,,
Công ty con gián tiếpCông ty Cổ phần Đầu tư Xây dựng Xuân Đình,Tên công ty con > Công ty con gián tiếpCông ty Cổ phần Đầu tư Xây dựng Xuân Đình,Công ty con gián tiếpCông ty Cổ phần Đầu tư Xây dựng Xuân Đình,"Tăng 9, tòa nhà Sunshine Center, 16 Phạm Hùng, phường Mỹ Đình 2, quậnNam Từ Liêm, TP Hà Nội, Việt Nam","94,00%","94,00%Dầu kinh sản","tư, xây dựng và doanh bất động",,0.94,,
