row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.500.000.000.000,-,431.631.308.538,-,2.931.631.308.538,2500000000000.0,,431631308538.0,,2931631308538.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,192.927.664.084,34.290.765.886,227.218.429.970,,,192927664084.0,34290765886.0,227218429970.0
Tăng do hợp nhất kinh doanh dưới sự kiểm soát chung,Tăng do hợp nhất kinh doanh dưới sự kiểm soát chung,Tăng do hợp nhất kinh doanh dưới sự kiểm soát chung,-,(791.955.590.152),-,168.961.206.574,(622.994.383.578),,-791955590152.0,,168961206574.0,-622994383578.0
Giảm do giảm quyền kiểm soát tại công ty liên kết,Giảm do giảm quyền kiểm soát tại công ty liên kết,Giảm do giảm quyền kiểm soát tại công ty liên kết,-,-,(253.444.093),-,(253.444.093),,,-253444093.0,,-253444093.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.500.000.000.000,(791.955.590.152),624.305.528.529,203.251.972.460,2.535.601.910.837,2500000000000.0,-791955590152.0,624305528529.0,203251972460.0,2535601910837.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,298.307.865.461,24.430.403.200,322.738.268.661,,,298307865461.0,24430403200.0,322738268661.0
Đầu tư góp vốn thêm vào công ty con không làm thay đối quyền kiểm soát,Đầu tư góp vốn thêm vào công ty con không làm thay đối quyền kiểm soát,Đầu tư góp vốn thêm vào công ty con không làm thay đối quyền kiểm soát,-,-,(58.818.694.093),(208.181.305.907),(267.000.000.000),,,-58818694093.0,-208181305907.0,-267000000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,2.500.000.000.000,(791.955.590.152),863.794.699.897,19.501.069.753,2.591.340.179.498,2500000000000.0,-791955590152.0,863794699897.0,19501069753.0,2591340179498.0
Cổ phiếu,Cổ phiếu,Cổ phiếu,Cổ phiếu,Cổ phiếu,Cổ phiếu,Cổ phiếu,Cổ phiếu,,,,,
,,,Số cuối năm,Số đầu năm,,,,,,,,
Số lượng cổ phiếu đã phát hành,Cổ phiếu > Số lượng cổ phiếu đã phát hành,Số lượng cổ phiếu đã phát hành,250.000.000,250.000.000,,,,250000000.0,250000000.0,,,
Cổ phiếu phổ thông,Cổ phiếu > Cổ phiếu phổ thông,Cổ phiếu phổ thông,250.000.000,250.000.000,,,,250000000.0,250000000.0,,,
Số lượng cổ phiếu đang lưu hành,Cổ phiếu > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,250.000.000,250.000.000,,,,250000000.0,250000000.0,,,
Cổ phiếu phổ thông,Cổ phiếu > Cổ phiếu phổ thông,Cổ phiếu phổ thông,250.000.000,250.000.000,,,,250000000.0,250000000.0,,,
Cổ phiếu phổ thông có mệnh giá 10.000 VND/cổ phiếu.,Cổ phiếu phổ thông có mệnh giá 10.000 VND/cổ phiếu.,Cổ phiếu phổ thông có mệnh giá 10.000 VND/cổ phiếu.,Cổ phiếu phổ thông có mệnh giá 10.000 VND/cổ phiếu.,Cổ phiếu phổ thông có mệnh giá 10.000 VND/cổ phiếu.,Cổ phiếu phổ thông có mệnh giá 10.000 VND/cổ phiếu.,Cổ phiếu phổ thông có mệnh giá 10.000 VND/cổ phiếu.,Cổ phiếu phổ thông có mệnh giá 10.000 VND/cổ phiếu.,,,,,
