row_label_raw,row_label_full,col_0,Trường hợp doanh thu được ghi nhận một lần vào thời điểm bàn giao sàn thương mại và tầng hàm,Trường hợp doanh thu được phân bổ trong thời hạn thuê sản thương mại và tầng hàm,numeric__Trường hợp doanh thu được ghi nhận một lần vào thời điểm bàn giao sàn thương mại và tầng hàm,numeric__Trường hợp doanh thu được phân bổ trong thời hạn thuê sản thương mại và tầng hàm
,,,VND,VND,,
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021:,,
Doanh thu bán hàng và cung cấp dịch vụ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021: > Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,1.352.700.107.869,1.190.170.815.343,1352700107869.0,1190170815343.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu cho thuê diện tích sàn thương mại và tầng hàm,Trong đó: > Doanh thu cho thuê diện tích sàn thương mại và tầng hàm,Doanh thu cho thuê diện tích sàn thương mại và tầng hàm,194.727.272.727,32.197.980.201,194727272727.0,32197980201.0
Giá vốn hàng bán và dịch vụ cung cấp,Trong đó: > Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,835.419.451.612,820.286.968.046,835419451612.0,820286968046.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Trong đó: > Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,517.280.656.257,369.883.847.297,517280656257.0,369883847297.0
,,,Trường hợp doanh thu được ghi nhận một lần vào thời điểm bàn giao sàn thương mại và tầng hàm,Trường hợp doanh thu được phân bổ trong thời hạn thuê sản thương mại và tầng hàm,,
,,,VND,VND,,
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020:,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020:,,
Doanh thu bán hàng và cung cấp dịch vụ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020: > Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,1.507.695.182.689,1.538.597.521.532,1507695182689.0,1538597521532.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu cho thuê diện tích sàn thương mại và tầng hàm,Trong đó: > Doanh thu cho thuê diện tích sàn thương mại và tầng hàm,Doanh thu cho thuê diện tích sàn thương mại và tầng hàm,-,30.902.338.843,,30902338843.0
Giá vốn hàng bán và dịch vụ cung cấp,Trong đó: > Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,977.812.098.227,995.687.344.590,977812098227.0,995687344590.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Trong đó: > Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,529.883.084.462,542.910.176.942,529883084462.0,542910176942.0
