row_label_raw,row_label_full,col_0,EURđược quy đổiTriệu đồng,USDđược quy đổiTriệu đồng,Vàngđược quy đổiTriệu đồng,Các ngoại tệ khácđược quy đổiTriệu đồng,Tổng cộngTriệu đồng,numeric__EURđược quy đổiTriệu đồng,numeric__USDđược quy đổiTriệu đồng,numeric__Vàngđược quy đổiTriệu đồng,numeric__Các ngoại tệ khácđược quy đổiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,253.176,1.122.688,334.775,865.210,2.575.849,253176.0,1122688.0,334775.0,865210.0,2575849.0
Tiền mặt và vàng,Tiền mặt và vàng,Tiền mặt và vàng,-,939.332,-,-,939.332,,939332.0,,,939332.0
Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,42.930,4.149.070,-,3.338.113,7.530.113,42930.0,4149070.0,,3338113.0,7530113.0
Tiền gửi tại và cho vay các TCTD khác - gộp,Tiền gửi tại và cho vay các TCTD khác - gộp,Tiền gửi tại và cho vay các TCTD khác - gộp,-,6.414.877,460.229,-,6.875.106,,6414877.0,460229.0,,6875106.0
Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,-,426.769,-,-,426.769,,426769.0,,,426769.0
Hoạt động mua nợ,Hoạt động mua nợ,Hoạt động mua nợ,2,2.101.881,28,98.660,2.200.571,2.0,2101881.0,28.0,98660.0,2200571.0
Tài sản Có khác - gộp,Tài sản Có khác - gộp,Tài sản Có khác - gộp,296.108,15.154.617,795.032,4.301.983,20.547.740,296108.0,15154617.0,795032.0,4301983.0,20547740.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,
Nợ phải trả và vốn chủ sở hữu,Tổng tài sản > Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,2.040,3.035.620,-,195.714,3.233.374,2040.0,3035620.0,,195714.0,3233374.0
Tiền gửi và vay các TCTD khác,Tổng tài sản > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,234.906,9.190.290,-,409.128,9.834.324,234906.0,9190290.0,,409128.0,9834324.0
Tiền gửi của khách hàng,Tổng tài sản > Tiền gửi của khách hàng,Tiền gửi của khách hàng,20.794,4.488.202,-,3.425.835,7.934.831,20794.0,4488202.0,,3425835.0,7934831.0
Công cụ tài chính phải sinh và các nợ tài chính khác,Tổng tài sản > Công cụ tài chính phải sinh và các nợ tài chính khác,Công cụ tài chính phải sinh và các nợ tài chính khác,-,5,-,-,5,,5.0,,,5.0
Phát hành giấy tờ có giá,Tổng tài sản > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,17.796,234.302,-,7.822,259.920,17796.0,234302.0,,7822.0,259920.0
Các khoản nợ khác,Tổng tài sản > Các khoản nợ khác,Các khoản nợ khác,275.536,16.948.419,-,4.038.499,21.262.454,275536.0,16948419.0,,4038499.0,21262454.0
Tổng nợ phải trả và vốn chủ sở hữu,Tổng tài sản > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,20.572,(1.793.802),795.032,263.484,(714.714),20572.0,-1793802.0,795032.0,263484.0,-714714.0
Trạng thái tiền tệ nội bằng,Tổng tài sản > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,(17.935),282.672,(323.468),(149.431),(208.162),-17935.0,282672.0,-323468.0,-149431.0,-208162.0
Trạng thái tiền tệ ngoại bằng,Tổng tài sản > Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,2.637,(1.511.130),471.564,114.053,(922.876),2637.0,-1511130.0,471564.0,114053.0,-922876.0
"Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",,,,,,,,,,
