row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản tại ngày 31 tháng 12 năm 2019,Tài sản tại ngày 31 tháng 12 năm 2019,Tài sản tại ngày 31 tháng 12 năm 2019,Tài sản tại ngày 31 tháng 12 năm 2019,Tài sản tại ngày 31 tháng 12 năm 2019,Tài sản tại ngày 31 tháng 12 năm 2019,,,
Tiền gửi tai và cho vay các TCTD khác,Tài sản tại ngày 31 tháng 12 năm 2019 > Tiền gửi tai và cho vay các TCTD khác,Tiền gửi tai và cho vay các TCTD khác,7.183.246,7.437.145,14.620.391,7183246.0,7437145.0,14620391.0
Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Tài sản tại ngày 31 tháng 12 năm 2019 > Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),22.106.829,-,22.106.829,22106829.0,,22106829.0
Cho vay khách hàng - gộp,Tài sản tại ngày 31 tháng 12 năm 2019 > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,288.265.973,-,288.265.973,288265973.0,,288265973.0
Hoạt động mua nợ - gộp,Tài sản tại ngày 31 tháng 12 năm 2019 > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,426.769,-,426.769,426769.0,,426769.0
Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,Tài sản tại ngày 31 tháng 12 năm 2019 > Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,80.536.629,-,80.536.629,80536629.0,,80536629.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản tại ngày 31 tháng 12 năm 2019 > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",1.622.764,2.463.284,4.086.048,1622764.0,2463284.0,4086048.0
Công nợ tại ngày 31 tháng 12 năm 2019,Công nợ tại ngày 31 tháng 12 năm 2019,Công nợ tại ngày 31 tháng 12 năm 2019,Công nợ tại ngày 31 tháng 12 năm 2019,Công nợ tại ngày 31 tháng 12 năm 2019,Công nợ tại ngày 31 tháng 12 năm 2019,,,
Các khoản nợ NHNN Việt Nam,Công nợ tại ngày 31 tháng 12 năm 2019 > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,241.539,-,241.539,241539.0,,241539.0
Tiền gửi và vay các TCTD khác,Công nợ tại ngày 31 tháng 12 năm 2019 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,2.404.886,2.222.866,4.627.752,2404886.0,2222866.0,4627752.0
Tiền gửi của khách hàng,Công nợ tại ngày 31 tháng 12 năm 2019 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,395.112.103,1.155.613,396.267.716,395112103.0,1155613.0,396267716.0
Phát hành giấy tờ có giá,Công nợ tại ngày 31 tháng 12 năm 2019 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,9.490.048,-,9.490.048,9490048.0,,9490048.0
Cam kết ngoại bảng tại ngày 31 tháng 12năm 2019,Công nợ tại ngày 31 tháng 12 năm 2019 > Cam kết ngoại bảng tại ngày 31 tháng 12năm 2019,Cam kết ngoại bảng tại ngày 31 tháng 12năm 2019,56.734.107,1.367.727,58.101.834,56734107.0,1367727.0,58101834.0
