row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Kinh doanhTriệu đồng,Giá trị ghi sổ > Giữ đến ngàyđáo hạnTriệu đồng,Giá trị ghi sổ > Cho vay vàphải thuTriệu đồng,Giá trị ghi sổ > Sẵn sàngđể bánTriệu đồng,Giá trị ghi sổ > Tài sản và nợ kháchạch toán theo giá trịphân bổTriệu đồng,Giá trị ghi sổ > Tổng cộnggiá trị ghi sổTriệu đồng,Giá trị hợp lý Triệu đồng,numeric__Giá trị ghi sổ > Kinh doanhTriệu đồng,numeric__Giá trị ghi sổ > Giữ đến ngàyđáo hạnTriệu đồng,numeric__Giá trị ghi sổ > Cho vay vàphải thuTriệu đồng,numeric__Giá trị ghi sổ > Sẵn sàngđể bánTriệu đồng,numeric__Giá trị ghi sổ > Tài sản và nợ kháchạch toán theo giá trịphân bổTriệu đồng,numeric__Giá trị ghi sổ > Tổng cộnggiá trị ghi sổTriệu đồng,numeric__Giá trị hợp lý Triệu đồng
Tiền mặt và vàng,Tiền mặt và vàng,Tiền mặt và vàng,-,-,-,-,7.889.107,7.889.107,7.889.107,,,,,7889107.0,7889107.0,7889107.0
Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,-,-,11.016.628,11.016.628,11.016.628,,,,,11016628.0,11016628.0,11016628.0
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,1.571.931,-,13.048.460,14.620.391,(*),,,1571931.0,,13048460.0,14620391.0,
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,24.465,-,-,-,-,24.465,(*),24465.0,,,,,24465.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,284.852.361,-,-,284.852.361,(*),,,284852361.0,,,284852361.0,
Hoạt động mua nợ,Hoạt động mua nợ,Hoạt động mua nợ,-,-,423.453,-,-,423.453,(*),,,423453.0,,,423453.0,
Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,-,-,-,46.786.052,-,46.786.052,(*),,,,46786052.0,,46786052.0,
Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,-,29.710.866,-,-,-,29.710.866,(*),,29710866.0,,,,29710866.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,103.854,-,103.854,(*),,,,103854.0,,103854.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,-,-,34.635.631,34.635.631,,,,,,34635631.0,34635631.0,
,,,24.465,29.710.866,286.847.745,46.889.906,66.589.826,430.062.808,,24465.0,29710866.0,286847745.0,46889906.0,66589826.0,430062808.0,
,,,,,,,,,(*),,,,,,,
Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,-,-,241.539,241.539,(*),,,,,241539.0,241539.0,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,4.627.752,4.627.752,(*),,,,,4627752.0,4627752.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,396.267.716,396.267.716,(*),,,,,396267716.0,396267716.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,9.490.048,9.490.048,(*),,,,,9490048.0,9490048.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,11.004.030,11.004.030,(*),,,,,11004030.0,11004030.0,
,,,-,-,-,-,421.631.085,421.631.085,,,,,,421631085.0,421631085.0,
