row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận chuyểnTriệu đồng,KhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận chuyểnTriệu đồng,numeric__KhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,3.722.971,1.860.085,614.048,244.094,6.441.198,3722971.0,1860085.0,614048.0,244094.0,6441198.0
Tăng do mua mới trong năm,Nguyên giá > Tăng do mua mới trong năm,Tăng do mua mới trong năm,1.843,87.951,53.868,33.964,177.626,1843.0,87951.0,53868.0,33964.0,177626.0
Tăng do nâng cấp,Nguyên giá > Tăng do nâng cấp,Tăng do nâng cấp,725,6.644,-,-,7.369,725.0,6644.0,,,7369.0
Kết chuyển từ đầu tư xây dựng cơ bản vàmua sắm tài sản cố định,Nguyên giá > Kết chuyển từ đầu tư xây dựng cơ bản vàmua sắm tài sản cố định,Kết chuyển từ đầu tư xây dựng cơ bản vàmua sắm tài sản cố định,88.891,260.538,23.817,9.273,382.519,88891.0,260538.0,23817.0,9273.0,382519.0
Thanh lý và nhượng bán,Nguyên giá > Thanh lý và nhượng bán,Thanh lý và nhượng bán,(81.083),(34.779),(33.902),(18.521),(168.285),-81083.0,-34779.0,-33902.0,-18521.0,-168285.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,3.733.347,2.180.439,657.831,268.810,6.840.427,3733347.0,2180439.0,657831.0,268810.0,6840427.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,710.330,1.098.263,278.322,93.004,2.179.919,710330.0,1098263.0,278322.0,93004.0,2179919.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,93.202,191.777,57.770,21.499,364.248,93202.0,191777.0,57770.0,21499.0,364248.0
Trích từ Quỹ Phát triển Khoa học và Công nghệ,Giá trị khấu hao lũy kế > Trích từ Quỹ Phát triển Khoa học và Công nghệ,Trích từ Quỹ Phát triển Khoa học và Công nghệ,-,3.894,-,-,3.894,,3894.0,,,3894.0
Thanh lý và nhượng bán,Giá trị khấu hao lũy kế > Thanh lý và nhượng bán,Thanh lý và nhượng bán,(34.531),(33.610),(30.519),(10.182),(108.842),-34531.0,-33610.0,-30519.0,-10182.0,-108842.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,769.001,1.260.324,305.573,104.321,2.439.219,769001.0,1260324.0,305573.0,104321.0,2439219.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,3.012.641,761.822,335.726,151.090,4.261.279,3012641.0,761822.0,335726.0,151090.0,4261279.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,2.964.346,920.115,352.258,164.489,4.401.208,2964346.0,920115.0,352258.0,164489.0,4401208.0
