row_label_raw,row_label_full,Số đầu năm,Năm nayTriệu đồng > Số đầu năm,Năm trướcTriệu đồng > Số đầu năm,numeric__Năm nayTriệu đồng > Số đầu năm,numeric__Năm trướcTriệu đồng > Số đầu năm
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,137.819,121.235,137819.0,121235.0
Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),-,15.000,,15000.0
Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,2.569.707,1.949.320,2569707.0,1949320.0
,,,2.707.526,2.085.555,2707526.0,2085555.0
Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,,
Chứng khoán đầu tư sẵn sàng để bán,Số trích lập/(hoàn nhập) trong năm > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,(34.431),16.584,-34431.0,16584.0
Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),Số trích lập/(hoàn nhập) trong năm > Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),-,(15.000),,-15000.0
Trái phiếu đặc biệt do VAMC phát hành,Số trích lập/(hoàn nhập) trong năm > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,1.367.755,620.387,1367755.0,620387.0
,,,1.333.324,621.971,1333324.0,621971.0
Số dự phòng đã sử dụng để xử lý rủi ro,Số dự phòng đã sử dụng để xử lý rủi ro,Số dự phòng đã sử dụng để xử lý rủi ro,Số dự phòng đã sử dụng để xử lý rủi ro,Số dự phòng đã sử dụng để xử lý rủi ro,,
Trái phiếu đặc biệt do VAMC phát hành,Số dự phòng đã sử dụng để xử lý rủi ro > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,(1.139),-,-1139.0,
Số cuối kỳ,Số cuối kỳ,Số cuối kỳ,Số cuối kỳ,Số cuối kỳ,,
Chứng khoán đầu tư sẵn sàng để bán,Số cuối kỳ > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,103.388,137.819,103388.0,137819.0
Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),-,-,,
Trái phiếu đặc biệt do VAMC phát hành,Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành) > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,3.936.323,2.569.707,3936323.0,2569707.0
,,,4.039.711,2.707.526,4039711.0,2707526.0
