row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Khôngchịu lãiTriệu đồng,Đến 1thángTriệu đồng,Từ 1 đến 3thángTriệu đồng,Từ 3 đến 6thángTriệu đồng,Từ 6 đến 12thángTriệu đồng,Từ 1 đến 5nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Khôngchịu lãiTriệu đồng,numeric__Đến 1thángTriệu đồng,numeric__Từ 1 đến 3thángTriệu đồng,numeric__Từ 3 đến 6thángTriệu đồng,numeric__Từ 6 đến 12thángTriệu đồng,numeric__Từ 1 đến 5nămTriệu đồng,numeric__Trên 5nămTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,7.889.107,-,-,-,-,-,-,7.889.107,,7889107.0,,,,,,,7889107.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,11.016.628,-,-,-,-,-,11.016.628,,,11016628.0,,,,,,11016628.0
Tiền gửi tại và cho vaycác TCTD khác - gộp,Tài sản > Tiền gửi tại và cho vaycác TCTD khác - gộp,Tiền gửi tại và cho vaycác TCTD khác - gộp,-,-,14.571.460,-,-,-,48.931,-,14.620.391,,,14571460.0,,,,48931.0,,14620391.0
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,-,24.465,-,-,-,-,-,-,24.465,,24465.0,,,,,,,24465.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,5.987.085,-,97.252.078,171.103.207,651.796,1.213.937,5.432.780,6.625.090,288.265.973,5987085.0,,97252078.0,171103207.0,651796.0,1213937.0,5432780.0,6625090.0,288265973.0
Hoạt động mua nợ - gộp,Tài sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,-,-,426.769,-,-,-,-,426.769,,,,426769.0,,,,,426769.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,33.873.050,900.258,1.550.548,952.124,4.478.942,35.290.030,3.491.677,80.536.629,,33873050.0,900258.0,1550548.0,952124.0,4478942.0,35290030.0,3491677.0,80536629.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,4.086.048,-,-,-,-,-,-,4.086.048,,4086048.0,,,,,,,4086048.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,7.855.072,-,-,-,-,-,-,7.855.072,,7855072.0,,,,,,,7855072.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,1.413.733,41.876.529,-,-,-,-,-,-,43.290.262,1413733.0,41876529.0,,,,,,,43290262.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,7.400.818,95.604.271,123.740.424,173.080.524,1.603.920,5.692.879,40.771.741,10.116.767,458.011.344,7400818.0,95604271.0,123740424.0,173080524.0,1603920.0,5692879.0,40771741.0,10116767.0,458011344.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ NHNN Việt Nam,Nợ phải trả > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,5.281,236.258,-,-,-,-,241.539,,,5281.0,236258.0,,,,,241539.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,3.249.805,554.234,819.242,4.471,-,-,4.627.752,,,3249805.0,554234.0,819242.0,4471.0,,,4627752.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,614.228,166.965.857,81.759.221,66.537.268,58.811.154,21.548.934,31.054,396.267.716,,614228.0,166965857.0,81759221.0,66537268.0,58811154.0,21548934.0,31054.0,396267716.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,470,-,2.736.170,3.956.087,2.797.321,-,-,9.490.048,,470.0,,2736170.0,3956087.0,2797321.0,,,9490048.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,12.277.317,-,-,-,-,-,-,12.277.317,,12277317.0,,,,,,,12277317.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,12.892.015,170.220.943,85.285.883,71.312.597,61.612.946,21.548.934,31.054,422.904.372,,12892015.0,170220943.0,85285883.0,71312597.0,61612946.0,21548934.0,31054.0,422904372.0
Mức chênh nhạy cảm với lãi suất nội bằng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bằng,Mức chênh nhạy cảm với lãi suất nội bằng,7.400.818,82.712.256,(46.480.519),87.794.641,(69.708.677),(55.920.067),19.222.807,10.085.713,35.106.972,7400818.0,82712256.0,-46480519.0,87794641.0,-69708677.0,-55920067.0,19222807.0,10085713.0,35106972.0
