row_label_raw,row_label_full,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Số đầu nămTriệu đồng
470,470,470,600,600.0
9.489.578,9.489.578,9.489.578,8.065.309,8065309.0
9.490.048,9.490.048,9.490.048,8.065.909,8065909.0
