row_label_raw,row_label_full,col_0,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,1.448.329,980.201,1448329.0,980201.0
Phí trả chậm hợp đồng chuyển nhượng tài sản,Phí trả chậm hợp đồng chuyển nhượng tài sản,Phí trả chậm hợp đồng chuyển nhượng tài sản,815.738,426.263,815738.0,426263.0
Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,220.457,187.760,220457.0,187760.0
Thu bán chứng khoán trả chậm,Thu bán chứng khoán trả chậm,Thu bán chứng khoán trả chậm,150.617,28.832,150617.0,28832.0
Thu thanh lý tài sản cố định,Thu thanh lý tài sản cố định,Thu thanh lý tài sản cố định,133.420,188.000,133420.0,188000.0
Thu phí ủy thác quản lý kho,Thu phí ủy thác quản lý kho,Thu phí ủy thác quản lý kho,35.204,35.204,35204.0,35204.0
Phí trả chậm hợp đồng bán nợ với VAMC,Phí trả chậm hợp đồng bán nợ với VAMC,Phí trả chậm hợp đồng bán nợ với VAMC,-,36.016,,36016.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,92.893,78.126,92893.0,78126.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(63.650),(18.236),-63650.0,-18236.0
Chi phí khác,Chi phí khác,Chi phí khác,(63.650),(18.236),-63650.0,-18236.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,1.384.679,961.965,1384679.0,961965.0
