row_label_raw,row_label_full,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2018,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2018,Giá trị ghi sổ kế toán ròng(theo tỷ giá tại ngày cuối năm) > Tài sảnTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2018,Giá trị ghi sổ kế toán ròng(theo tỷ giá tại ngày cuối năm) > Nợ phải trảTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2018,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2018,numeric__Giá trị ghi sổ kế toán ròng(theo tỷ giá tại ngày cuối năm) > Tài sảnTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2018,numeric__Giá trị ghi sổ kế toán ròng(theo tỷ giá tại ngày cuối năm) > Nợ phải trảTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2018
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,2.235.933,-,5.894,2235933.0,,5894.0
Giao dịch hoàn đối tiền tệ,Giao dịch hoàn đối tiền tệ,Giao dịch hoàn đối tiền tệ,7.238.536,27.204,-,7238536.0,27204.0,
,,,9.474.469,27.204,5.894,9474469.0,27204.0,5894.0
Số thuần,Số thuần,Số thuần,,21.310,,,21310.0,
Giao dịch quyền chọn,Giao dịch quyền chọn,Giao dịch quyền chọn,,,,,,
Bán quyền chọn tiền tệ,Giao dịch quyền chọn > Bán quyền chọn tiền tệ,Bán quyền chọn tiền tệ,41.894,-,129,41894.0,,129.0
Số thuần,Giao dịch quyền chọn > Số thuần,Số thuần,,,129,,,129.0
