row_label_raw,row_label_full,Bên liên quan > Công ty Cổ phầnTư vấn Thiết kế và Xây dựngNam Viên > Công ty Cổ phầnNam Long VCD,Mối quan hệ > Bên liên quan > Công ty con,Nội dung nghiệp vụ > Chi phí dịch vụ xây dựng > Lãi cho vayGóp vốnThuê văn phòngCho vay,Năm nay > 2.604.137.952 > 23.949.720.00221.200.000.00054.545.455-,VNDNăm trước > 2.641.085.228 > 20.195.208.753-3.070.309.09287.868.000.000,numeric__Mối quan hệ > Bên liên quan > Công ty con,numeric__Nội dung nghiệp vụ > Chi phí dịch vụ xây dựng > Lãi cho vayGóp vốnThuê văn phòngCho vay,numeric__Năm nay > 2.604.137.952 > 23.949.720.00221.200.000.00054.545.455-,numeric__VNDNăm trước > 2.641.085.228 > 20.195.208.753-3.070.309.09287.868.000.000
Công ty Cổ phầnBắt Động SảnNguyên Sơn,Công ty Cổ phầnBắt Động SảnNguyên Sơn,Công ty Cổ phầnBắt Động SảnNguyên Sơn,Công ty con,Góp vốn HĐHTKDGóp vốnThu hồi vốn gópHĐHTKD,35.159.600.000--,24.712.000.00018.213.800.000,,,,2.471200000018214e+21
Công ty Cổ phầnĐầu tư NamPhan,Công ty Cổ phầnĐầu tư NamPhan,Công ty Cổ phầnĐầu tư NamPhan,Công ty con,VayGóp vốn HĐHTKDChi phí lãi vayThu hồi vốn gópHĐHTKDHoàn tiền vay,40.000.000.00039.702.732.8043.043.333.333-,-,,,,
Công ty Cổ phầnĐầu tư NamPhan,Công ty Cổ phầnĐầu tư NamPhan,Công ty Cổ phầnĐầu tư NamPhan,Công ty con,VayGóp vốn HĐHTKDChi phí lãi vayThu hồi vốn gópHĐHTKDHoàn tiền vay,40.000.000.00039.702.732.8043.043.333.333-,-,,,,
Công ty Cổ phầnĐầu tư NamPhan,Công ty Cổ phầnĐầu tư NamPhan,Công ty Cổ phầnĐầu tư NamPhan,Công ty con,VayGóp vốn HĐHTKDChi phí lãi vayThu hồi vốn gópHĐHTKDHoàn tiền vay,40.000.000.00039.702.732.8043.043.333.333-,-,,,,
Công ty Cổ phầnĐầu tư NamPhan,Công ty Cổ phầnĐầu tư NamPhan,Công ty Cổ phầnĐầu tư NamPhan,Công ty con,VayGóp vốn HĐHTKDChi phí lãi vayThu hồi vốn gópHĐHTKDHoàn tiền vay,40.000.000.00039.702.732.8043.043.333.333-,57.702.732.804-,,,,
Công ty TNHHĐầu Tư TânHiệp,Công ty Cổ phầnĐầu tư NamPhan > Công ty TNHHĐầu Tư TânHiệp,Công ty TNHHĐầu Tư TânHiệp,Bên liên quan,Bán vilaThuê dịch vụ,963.489.0001.516.363.630,-,,,9.634890001516364e+18,
Công ty Cổ phầnNam Long -Hồng Phát,Công ty Cổ phầnĐầu tư NamPhan > Công ty Cổ phầnNam Long -Hồng Phát,Công ty Cổ phầnNam Long -Hồng Phát,Công ty con,Góp vốn đầu tư,11.816.600.000,7.135.264.000,,,11816600000.0,7135264000.0
Ông Nguyễn Xuân Quang,Công ty Cổ phầnĐầu tư NamPhan > Ông Nguyễn Xuân Quang,Ông Nguyễn Xuân Quang,Chủ tịch,Chuyển tiền chuyển nhượng cổ phầnChi phí cổ tứcỨng tiền mua quyền sở hữu trong một doanh nghiệp,24.291.250.0008.518.757.940-,10.341.000.0007.741.922.314,,,,1.0341000000774192e+20
Ông Nguyễn Xuân Quang,Công ty Cổ phầnĐầu tư NamPhan > Ông Nguyễn Xuân Quang,Ông Nguyễn Xuân Quang,Chủ tịch,Chuyển tiền chuyển nhượng cổ phầnChi phí cổ tứcỨng tiền mua quyền sở hữu trong một doanh nghiệp,24.291.250.0008.518.757.940-,13.350.000.000,,,,13350000000.0
Bà Nguyễn Thị Ngọc Lan,Công ty Cổ phầnĐầu tư NamPhan > Bà Nguyễn Thị Ngọc Lan,Bà Nguyễn Thị Ngọc Lan,Bên liên quan,Hoàn tiền vayVay,1.000.000.000-,2.000.000.0001.000.000.000,,,,2.0000000001e+19
Bà Nguyễn Thị Phúc Nguyên,Công ty Cổ phầnĐầu tư NamPhan > Bà Nguyễn Thị Phúc Nguyên,Bà Nguyễn Thị Phúc Nguyên,Bên liên quan,Mua cổ phần trongNguyên PhúcVayChi phí lãi vayHoàn tiền vay,22.084.500.0002.675.966.000349.407.4881.281.100.000,-2.267.955.000-,,,2.2084500000267596e+39,
Ông Trần Thanh Phong,Công ty Cổ phầnĐầu tư NamPhan > Ông Trần Thanh Phong,Ông Trần Thanh Phong,Phó Chủ Tịch,Cổ tức phải trả,4.019.523.700,4.490.560.326,,,4019523700.0,4490560326.0
Bà Nguyễn Thị Bích Ngọc,Công ty Cổ phầnĐầu tư NamPhan > Bà Nguyễn Thị Bích Ngọc,Bà Nguyễn Thị Bích Ngọc,Bên liên quan,Cổ tức phải trả,4.314.756.460,4.764.857.390,,,4314756460.0,4764857390.0
