row_label_raw,row_label_full,Đầu tư góp vốn vào đơn vị khácCông ty Cổ phần Phát triểnNhà Bắc Trung Nam (*),Số cổ phần > 200.000,"Tỷ lệ sở hữu(%) > 4,00",Số cuối năm > 2.000.000.000,VND Số đầu năm (được trình bày lại) > 2.000.000.000,numeric__Số cổ phần > 200.000,"numeric__Tỷ lệ sở hữu(%) > 4,00",numeric__Số cuối năm > 2.000.000.000,numeric__VND Số đầu năm (được trình bày lại) > 2.000.000.000
Công ty TNHH Đầu tư vàKinh doanh Bắt động sảnNguyên Phúc,Công ty TNHH Đầu tư vàKinh doanh Bắt động sảnNguyên Phúc,Công ty TNHH Đầu tư vàKinh doanh Bắt động sảnNguyên Phúc,-,-,-,60.000.000.000,,,,60000000000.0
Công ty TNHH Nam Long -Mi Pha,Công ty TNHH Nam Long -Mi Pha,Công ty TNHH Nam Long -Mi Pha,-,-,-,8.640.000.000,,,,8640000000.0
Khác (i)Dự án Nguyên Sơn,Khác (i)Dự án Nguyên Sơn,Khác (i)Dự án Nguyên Sơn,,,173.483.198.107,137.191.886.015,,,173483198107.0,137191886015.0
Dự án Cần Thơ,Dự án Cần Thơ,Dự án Cần Thơ,,,40.820.018.620,28.971.829.146,,,40820018620.0,28971829146.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,216.303.216.727,236.803.715.161,,,216303216727.0,236803715161.0
