row_label_raw,row_label_full,Công ty,Mối quan hệ,Địa điểm,Ngành nghề kinh doanh,numeric__Mối quan hệ,numeric__Địa điểm,numeric__Ngành nghề kinh doanh
Công ty Cổ phần Phát triển Nam Long,Công ty Cổ phần Phát triển Nam Long,Công ty Cổ phần Phát triển Nam Long,Công ty con,Tp. Hồ Chí Minh,Xây dựng và bất động sản,,,
Công ty Cổ phần Dịch vụ Nam Long,Công ty Cổ phần Dịch vụ Nam Long,Công ty Cổ phần Dịch vụ Nam Long,Công ty con,Tp. Hồ Chí Minh,Dịch vụ và xây lắp,,,
Công ty Cổ phần Nam Long - Hồng Phát,Công ty Cổ phần Nam Long - Hồng Phát,Công ty Cổ phần Nam Long - Hồng Phát,Công ty con,Tp. Cần Thơ,Xây dựng và bất động sản,,,
Công ty Cổ phần Bất Động Sản Nguyên Sơn,Công ty Cổ phần Bất Động Sản Nguyên Sơn,Công ty Cổ phần Bất Động Sản Nguyên Sơn,Công ty con,Tp. Hồ Chí Minh,Bất động sản,,,
Công ty Cổ phần Phát triển Căn hộ Nam Long,Công ty Cổ phần Phát triển Căn hộ Nam Long,Công ty Cổ phần Phát triển Căn hộ Nam Long,Công ty con,Tp. Hồ Chí Minh,Xây dựng và bất động sản,,,
Công ty TNHH Một thành viên Sàn giao dịch Bất động sản Nam Long,Công ty TNHH Một thành viên Sàn giao dịch Bất động sản Nam Long,Công ty TNHH Một thành viên Sàn giao dịch Bất động sản Nam Long,Công ty con,Tp. Hồ Chí Minh,Sàn giao dịch bất động sản,,,
Công ty TNHH Một thành viên Đầu tư Xây dựng Phát triển Nam Khang,Công ty TNHH Một thành viên Đầu tư Xây dựng Phát triển Nam Khang,Công ty TNHH Một thành viên Đầu tư Xây dựng Phát triển Nam Khang,Công ty con,Tp. Hồ Chí Minh,Xây dựng và bất động sản,,,
Công ty Cổ phần Nam Long VCD,Công ty Cổ phần Nam Long VCD,Công ty Cổ phần Nam Long VCD,Công ty con,Tỉnh Long An,Xây dựng và bất động sản,,,
Công ty Cổ phần Đầu tư Nam Phan,Công ty Cổ phần Đầu tư Nam Phan,Công ty Cổ phần Đầu tư Nam Phan,Công ty con,Tp. Hồ Chí Minh,Xây dựng và bất động sản,,,
Công ty TNHH Kinh Doanh và Đầu Tư Bất Đông Sản Nguyên Phúc,Công ty TNHH Kinh Doanh và Đầu Tư Bất Đông Sản Nguyên Phúc,Công ty TNHH Kinh Doanh và Đầu Tư Bất Đông Sản Nguyên Phúc,Công ty con,Tp. Hồ Chí Minh,Bất động sản,,,
Công ty TNHH Kinh Doanh và Đầu Tư Bất Đông Sản Thảo Nguyên,Công ty TNHH Kinh Doanh và Đầu Tư Bất Đông Sản Thảo Nguyên,Công ty TNHH Kinh Doanh và Đầu Tư Bất Đông Sản Thảo Nguyên,Công ty con,Tp. Hồ Chí Minh,Bất động sản,,,
Công ty TNHH ASPL PLB - Nam Long,Công ty TNHH ASPL PLB - Nam Long,Công ty TNHH ASPL PLB - Nam Long,Công ty con,Tp. Hồ Chí Minh,Xây dựng và bất động sản,,,
Công ty TNHH Phát triển Gamuda - Nam Long,Công ty TNHH Phát triển Gamuda - Nam Long,Công ty TNHH Phát triển Gamuda - Nam Long,Công ty liên doanh,Tp. Hồ Chí Minh,Bất động sản,,,
